"","","/都市間移動者数・その他","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数"
"","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","全国・都道府県・市区町村2019～","/年齢","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳"
"日本人移動者","全国市部","","11,189","23,677","7,238","5,718","10,158","3,667","5,471","13,519","3,571"
"日本人移動者","全国郡部","","-11,189","-23,677","-7,238","-5,718","-10,158","-3,667","-5,471","-13,519","-3,571"
"日本人移動者","北海道市部","","1,102","-2,684","-1,340","645","-1,574","-588","457","-1,110","-752"
"日本人移動者","北海道郡部","","-2,003","-1,792","-319","-982","-643","-198","-1,021","-1,149","-121"
"日本人移動者","札幌市","","1,327","1,678","313","555","578","133","772","1,100","180"
"日本人移動者","函館市","","-187","-376","-182","-126","-179","-87","-61","-197","-95"
"日本人移動者","小樽市","","-37","-302","-173","-21","-118","-76","-16","-184","-97"
"日本人移動者","旭川市","","-292","-479","-291","-214","-259","-109","-78","-220","-182"
"日本人移動者","室蘭市","","62","-171","-118","94","-130","-74","-32","-41","-44"
"日本人移動者","釧路市","","71","-328","-246","57","-163","-85","14","-165","-161"
"日本人移動者","帯広市","","-23","92","-50","-62","144","-9","39","-52","-41"
"日本人移動者","北見市","","-73","-128","-39","-34","-64","-24","-39","-64","-15"
"日本人移動者","夕張市","","-8","-4","-9","-2","-2","-3","-6","-2","-6"
"日本人移動者","岩見沢市","","-27","-240","-76","-7","-101","-45","-20","-139","-31"
"日本人移動者","網走市","","12","-101","-54","18","-73","-18","-6","-28","-36"
"日本人移動者","留萌市","","-12","-26","-22","14","-12","-17","-26","-14","-5"
"日本人移動者","苫小牧市","","-94","-31","5","-67","28","31","-27","-59","-26"
"日本人移動者","稚内市","","-74","-4","-46","-35","16","-19","-39","-20","-27"
"日本人移動者","美唄市","","-19","-86","-39","-6","-49","-19","-13","-37","-20"
"日本人移動者","芦別市","","-13","-50","-35","-2","-23","-24","-11","-27","-11"
"日本人移動者","江別市","","263","-517","0","177","-297","4","86","-220","-4"
"日本人移動者","赤平市","","-20","-32","-1","-10","-15","5","-10","-17","-6"
"日本人移動者","紋別市","","-60","-21","-23","-37","-10","-17","-23","-11","-6"
"日本人移動者","士別市","","-42","-89","-11","-22","-44","-1","-20","-45","-10"
"日本人移動者","名寄市","","109","-52","-2","38","-19","-12","71","-33","10"
"日本人移動者","三笠市","","-12","-4","-29","-3","-2","-18","-9","-2","-11"
"日本人移動者","根室市","","-65","-21","-30","-30","-3","-22","-35","-18","-8"
"日本人移動者","千歳市","","427","-54","-31","321","-93","-11","106","39","-20"
"日本人移動者","滝川市","","40","-150","-9","46","-68","-10","-6","-82","1"
"日本人移動者","砂川市","","-16","-52","-27","-8","-40","-8","-8","-12","-19"
"日本人移動者","歌志内市","","-4","-13","-5","-2","-6","-6","-2","-7","1"
"日本人移動者","深川市","","77","-111","-8","63","-71","3","14","-40","-11"
"日本人移動者","富良野市","","-51","3","-16","-28","-6","-3","-23","9","-13"
"日本人移動者","登別市","","37","-157","-81","58","-83","-35","-21","-74","-46"
"日本人移動者","恵庭市","","71","-304","-28","53","-117","6","18","-187","-34"
"日本人移動者","伊達市","","-61","-76","28","-39","-39","14","-22","-37","14"
"日本人移動者","北広島市","","-36","-221","-37","3","-145","-20","-39","-76","-17"
"日本人移動者","石狩市","","-56","-168","30","-31","-70","-1","-25","-98","31"
"日本人移動者","北斗市","","-112","-89","2","-66","-39","-11","-46","-50","13"
"日本人移動者","石狩振興局","","14","-103","-11","5","-47","-4","9","-56","-7"
"日本人移動者","渡島総合振興局","","-318","-136","-40","-162","-58","-26","-156","-78","-14"
"日本人移動者","檜山振興局","","-87","-51","-46","-42","-2","-29","-45","-49","-17"
"日本人移動者","後志総合振興局","","-167","-148","8","-90","-37","7","-77","-111","1"
"日本人移動者","空知総合振興局","","-95","-206","-61","-48","-96","-38","-47","-110","-23"
