"","","/都市間移動者数・その他","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数"
"日本人移動者","上川総合振興局","","-144","-204","-45","-72","-76","-22","-72","-128","-23"
"日本人移動者","留萌振興局","","-49","-16","-10","-21","-10","-2","-28","-6","-8"
"日本人移動者","宗谷総合振興局","","-54","9","-7","-24","18","-3","-30","-9","-4"
"日本人移動者","オホーツク総合振興局","","-210","-220","-10","-87","-64","-6","-123","-156","-4"
"日本人移動者","胆振総合振興局","","-110","-123","-69","-64","-64","-52","-46","-59","-17"
"日本人移動者","日高振興局","","-167","-111","-32","-79","-28","-25","-88","-83","-7"
"日本人移動者","十勝総合振興局","","-337","-366","-7","-178","-138","-7","-159","-228","0"
"日本人移動者","釧路総合振興局","","-174","-88","9","-86","-43","5","-88","-45","4"
"日本人移動者","根室振興局","","-105","-29","2","-34","2","4","-71","-31","-2"
"日本人移動者","青森県市部","","-1,297","-2,126","-421","-671","-857","-317","-626","-1,269","-104"
"日本人移動者","青森県郡部","","-688","-850","-77","-328","-323","-54","-360","-527","-23"
"日本人移動者","青森市","","-390","-621","-169","-203","-261","-111","-187","-360","-58"
"日本人移動者","弘前市","","23","-479","-120","13","-239","-110","10","-240","-10"
"日本人移動者","八戸市","","-371","-413","-16","-191","-171","4","-180","-242","-20"
"日本人移動者","黒石市","","-64","-80","-30","-32","-26","-4","-32","-54","-26"
"日本人移動者","五所川原市","","-136","-100","-5","-86","-39","7","-50","-61","-12"
"日本人移動者","十和田市","","-143","-104","-17","-83","-17","-8","-60","-87","-9"
"日本人移動者","三沢市","","-5","-58","-26","26","3","-21","-31","-61","-5"
"日本人移動者","むつ市","","-93","-139","-33","-52","-69","-46","-41","-70","13"
"日本人移動者","つがる市","","-72","-61","-16","-47","-19","-30","-25","-42","14"
"日本人移動者","平川市","","-46","-71","11","-16","-19","2","-30","-52","9"
"日本人移動者","東津軽郡","","-52","-43","-9","-26","-14","-1","-26","-29","-8"
"日本人移動者","西津軽郡","","-55","-73","-16","-25","-22","-11","-30","-51","-5"
"日本人移動者","中津軽郡","","-1","-2","3","0","0","1","-1","-2","2"
"日本人移動者","南津軽郡","","-64","-87","3","-34","-24","1","-30","-63","2"
"日本人移動者","北津軽郡","","-132","-120","-38","-61","-50","-18","-71","-70","-20"
"日本人移動者","上北郡","","-221","-243","33","-96","-94","9","-125","-149","24"
"日本人移動者","下北郡","","-42","-31","-7","-20","3","-8","-22","-34","1"
"日本人移動者","三戸郡","","-121","-251","-46","-66","-122","-27","-55","-129","-19"
"日本人移動者","岩手県市部","","-1,185","-1,814","-379","-583","-609","-110","-602","-1,205","-269"
"日本人移動者","岩手県郡部","","-400","-553","-7","-208","-247","-5","-192","-306","-2"
"日本人移動者","盛岡市","","-31","-316","-193","-79","-82","-50","48","-234","-143"
"日本人移動者","宮古市","","-89","-95","-40","-32","-34","-29","-57","-61","-11"
"日本人移動者","大船渡市","","-89","-92","-1","-43","-41","-12","-46","-51","11"
"日本人移動者","花巻市","","-89","-177","-25","-44","-71","0","-45","-106","-25"
"日本人移動者","北上市","","-105","-104","50","-49","15","56","-56","-119","-6"
"日本人移動者","久慈市","","-88","-78","-7","-38","-32","1","-50","-46","-8"
"日本人移動者","遠野市","","-60","-88","-24","-28","-37","-10","-32","-51","-14"
"日本人移動者","一関市","","-261","-244","-44","-135","-115","-22","-126","-129","-22"
"日本人移動者","陸前高田市","","-34","-61","0","-9","-33","1","-25","-28","-1"
"日本人移動者","釜石市","","-72","-40","-29","-21","1","-33","-51","-41","4"
"日本人移動者","二戸市","","-56","-68","-3","-30","-27","6","-26","-41","-9"
"日本人移動者","八幡平市","","-38","-91","-36","-22","-33","-10","-16","-58","-26"
"日本人移動者","奥州市","","-215","-186","-22","-104","-51","-7","-111","-135","-15"
"日本人移動者","滝沢市","","42","-174","-5","51","-69","-1","-9","-105","-4"
"日本人移動者","岩手郡","","-85","-117","-39","-57","-47","-16","-28","-70","-23"
"日本人移動者","紫波郡","","-95","-89","93","-60","-54","42","-35","-35","51"
"日本人移動者","和賀郡","","-10","-22","-4","-7","-4","-2","-3","-18","-2"
"日本人移動者","胆沢郡","","38","-47","42","41","-22","15","-3","-25","27"
"日本人移動者","西磐井郡","","-21","-18","-13","-8","-10","-3","-13","-8","-10"
"日本人移動者","気仙郡","","-16","-18","-6","-7","-7","-3","-9","-11","-3"
"日本人移動者","上閉伊郡","","-21","-26","2","-5","-9","-4","-16","-17","6"
"日本人移動者","下閉伊郡","","-85","-79","-29","-38","-41","-20","-47","-38","-9"
"日本人移動者","九戸郡","","-83","-93","-25","-52","-34","-4","-31","-59","-21"
"日本人移動者","二戸郡","","-22","-44","-28","-15","-19","-10","-7","-25","-18"
"日本人移動者","宮城県市部","","314","-683","-669","186","-539","-384","128","-144","-285"
"日本人移動者","宮城県郡部","","-186","-773","-273","-77","-309","-109","-109","-464","-164"
"日本人移動者","仙台市","","1,230","889","-98","665","113","-102","565","776","4"
"日本人移動者","石巻市","","-124","-208","-166","-65","-87","-93","-59","-121","-73"
"日本人移動者","塩竈市","","-37","-138","-45","-26","-53","-10","-11","-85","-35"
"日本人移動者","気仙沼市","","-165","-160","-78","-92","-63","-32","-73","-97","-46"
"日本人移動者","白石市","","-61","-88","-46","-34","-27","-35","-27","-61","-11"
"日本人移動者","名取市","","-22","-114","130","-11","-56","61","-11","-58","69"
"日本人移動者","角田市","","-21","-42","-39","-9","-23","-27","-12","-19","-12"
"日本人移動者","多賀城市","","41","-83","-68","44","-64","-41","-3","-19","-27"
"日本人移動者","岩沼市","","-13","-30","-74","-24","-7","-18","11","-23","-56"
"日本人移動者","登米市","","-156","-173","-59","-73","-50","-24","-83","-123","-35"
"日本人移動者","栗原市","","-94","-153","-43","-53","-71","-18","-41","-82","-25"
"日本人移動者","東松島市","","-19","-103","-31","-13","-53","-29","-6","-50","-2"
"日本人移動者","大崎市","","-165","-79","-74","-87","10","-14","-78","-89","-60"
"日本人移動者","富谷市","","-80","-201","22","-36","-108","-2","-44","-93","24"
"日本人移動者","刈田郡","","-24","-40","-16","-13","-19","-2","-11","-21","-14"
"日本人移動者","柴田郡","","89","-202","-87","55","-107","-12","34","-95","-75"
"日本人移動者","伊具郡","","-12","-43","-21","-4","-17","-9","-8","-26","-12"
"日本人移動者","亘理郡","","-51","-57","-2","-26","-29","1","-25","-28","-3"
"日本人移動者","宮城郡","","-51","-176","-45","-20","-57","-27","-31","-119","-18"
"日本人移動者","黒川郡","","-21","-31","-1","-9","6","-3","-12","-37","2"
"日本人移動者","加美郡","","-36","-63","-43","-24","-14","-22","-12","-49","-21"
"日本人移動者","遠田郡","","-42","-108","-32","-19","-54","-15","-23","-54","-17"
"日本人移動者","牡鹿郡","","-5","-7","-4","1","2","-8","-6","-9","4"
"日本人移動者","本吉郡","","-33","-46","-22","-18","-20","-12","-15","-26","-10"
"日本人移動者","秋田県市部","","-1,365","-1,769","-218","-717","-817","-67","-648","-952","-151"
"日本人移動者","秋田県郡部","","-217","-254","-75","-116","-99","-32","-101","-155","-43"
"日本人移動者","秋田市","","-233","-537","7","-134","-303","-1","-99","-234","8"
"日本人移動者","能代市","","-118","-69","-16","-71","-20","-4","-47","-49","-12"
"日本人移動者","横手市","","-173","-238","-32","-106","-116","-6","-67","-122","-26"
"日本人移動者","大館市","","-136","-100","14","-58","-40","-2","-78","-60","16"
"日本人移動者","男鹿市","","-45","-70","-33","-16","-27","-11","-29","-43","-22"
"日本人移動者","湯沢市","","-94","-153","-20","-57","-70","4","-37","-83","-24"
"日本人移動者","鹿角市","","-87","-57","-25","-44","-24","-16","-43","-33","-9"
"日本人移動者","由利本荘市","","-128","-134","-59","-53","-59","-23","-75","-75","-36"
"日本人移動者","潟上市","","-61","-96","-28","-26","-54","-19","-35","-42","-9"
"日本人移動者","大仙市","","-146","-154","-5","-84","-51","10","-62","-103","-15"
"日本人移動者","北秋田市","","-71","-72","0","-33","-32","13","-38","-40","-13"
"日本人移動者","にかほ市","","-38","-40","-10","-18","-5","1","-20","-35","-11"
"日本人移動者","仙北市","","-35","-49","-11","-17","-16","-13","-18","-33","2"
"日本人移動者","鹿角郡","","-20","-5","-3","-15","3","0","-5","-8","-3"
"日本人移動者","北秋田郡","","-5","-5","0","-2","-1","2","-3","-4","-2"
"日本人移動者","山本郡","","-78","-61","-22","-42","-24","-16","-36","-37","-6"
"日本人移動者","南秋田郡","","-22","-110","-32","-4","-39","-14","-18","-71","-18"
"日本人移動者","仙北郡","","-54","-27","3","-34","-13","3","-20","-14","0"
"日本人移動者","雄勝郡","","-38","-46","-21","-19","-25","-7","-19","-21","-14"
"日本人移動者","山形県市部","","-499","-1,737","-369","-183","-750","-197","-316","-987","-172"
"日本人移動者","山形県郡部","","-452","-625","-156","-243","-237","-90","-209","-388","-66"
"日本人移動者","山形市","","212","-545","-159","88","-207","-95","124","-338","-64"
"日本人移動者","米沢市","","-1","-192","-100","7","-75","-66","-8","-117","-34"
"日本人移動者","鶴岡市","","-209","-259","-2","-93","-131","20","-116","-128","-22"
"日本人移動者","酒田市","","-266","-124","-21","-125","-67","-2","-141","-57","-19"
"日本人移動者","新庄市","","-51","-125","-12","-21","-65","-9","-30","-60","-3"
"日本人移動者","寒河江市","","-63","-32","3","-31","4","-7","-32","-36","10"
"日本人移動者","上山市","","-17","-63","-31","-6","-29","-6","-11","-34","-25"
"日本人移動者","村山市","","-36","-70","-44","-17","-35","-22","-19","-35","-22"
"日本人移動者","長井市","","-55","-105","-23","-31","-44","-10","-24","-61","-13"
"日本人移動者","天童市","","-47","-40","25","-21","4","2","-26","-44","23"
"日本人移動者","東根市","","105","-55","7","102","-49","-5","3","-6","12"
"日本人移動者","尾花沢市","","-22","-58","-15","-13","-27","-9","-9","-31","-6"
"日本人移動者","南陽市","","-49","-69","3","-22","-29","12","-27","-40","-9"
"日本人移動者","東村山郡","","-37","-57","-4","-23","-21","5","-14","-36","-9"
"日本人移動者","西村山郡","","-51","-118","-59","-32","-48","-41","-19","-70","-18"
"日本人移動者","北村山郡","","-11","-37","-7","-8","-18","-1","-3","-19","-6"
"日本人移動者","最上郡","","-108","-161","-59","-53","-66","-42","-55","-95","-17"
"日本人移動者","東置賜郡","","-82","-77","-32","-57","-22","-17","-25","-55","-15"
"日本人移動者","西置賜郡","","-68","-83","-20","-32","-36","-16","-36","-47","-4"
"日本人移動者","東田川郡","","-59","-61","34","-23","-10","27","-36","-51","7"
"日本人移動者","飽海郡","","-36","-31","-9","-15","-16","-5","-21","-15","-4"
"日本人移動者","福島県市部","","-997","-2,955","-358","-447","-1,189","-227","-550","-1,766","-131"
"日本人移動者","福島県郡部","","-531","-1,037","-378","-303","-379","-167","-228","-658","-211"
"日本人移動者","福島市","","69","-660","-88","82","-322","-91","-13","-338","3"
"日本人移動者","会津若松市","","-98","-214","-53","-33","-101","-19","-65","-113","-34"
"日本人移動者","郡山市","","-103","-412","-6","-44","-194","0","-59","-218","-6"
"日本人移動者","いわき市","","-285","-543","-78","-138","-150","-59","-147","-393","-19"
"日本人移動者","白河市","","-53","-150","-18","-35","-70","-13","-18","-80","-5"
"日本人移動者","須賀川市","","-54","-159","-12","-30","-59","-10","-24","-100","-2"
"日本人移動者","喜多方市","","-108","-95","16","-52","-34","27","-56","-61","-11"
"日本人移動者","相馬市","","-37","-69","23","-14","-19","17","-23","-50","6"
"日本人移動者","二本松市","","-89","-124","-42","-43","-46","-42","-46","-78","0"
"日本人移動者","田村市","","-55","-148","-58","-23","-54","-33","-32","-94","-25"
"日本人移動者","南相馬市","","-76","-108","-5","-49","-20","8","-27","-88","-13"
"日本人移動者","伊達市","","-76","-185","-38","-44","-84","-11","-32","-101","-27"
"日本人移動者","本宮市","","-32","-88","1","-24","-36","-1","-8","-52","2"
"日本人移動者","伊達郡","","-29","-124","-33","-27","-34","-13","-2","-90","-20"
"日本人移動者","安達郡","","-9","6","14","-3","6","10","-6","0","4"
"日本人移動者","岩瀬郡","","-28","-32","-7","-19","-21","1","-9","-11","-8"
"日本人移動者","南会津郡","","-34","-72","-39","-13","-19","-15","-21","-53","-24"
"日本人移動者","耶麻郡","","-105","-109","-34","-63","-43","-13","-42","-66","-21"
"日本人移動者","河沼郡","","-46","-90","-23","-28","-44","-7","-18","-46","-16"
"日本人移動者","大沼郡","","-27","-80","-9","-27","-35","-13","0","-45","4"
"日本人移動者","西白河郡","","-37","-64","-4","-16","3","-7","-21","-67","3"
"日本人移動者","東白川郡","","-51","-91","-26","-27","-41","-9","-24","-50","-17"
"日本人移動者","石川郡","","-61","-137","-62","-28","-52","-31","-33","-85","-31"
"日本人移動者","田村郡","","-18","-103","-53","-13","-48","-24","-5","-55","-29"
"日本人移動者","双葉郡","","-68","-110","-77","-28","-36","-30","-40","-74","-47"
"日本人移動者","相馬郡","","-18","-31","-25","-11","-15","-16","-7","-16","-9"
"日本人移動者","茨城県市部","","-599","-3,328","-1,041","-249","-1,341","-539","-350","-1,987","-502"
"日本人移動者","茨城県郡部","","-136","-564","-244","-79","-221","-80","-57","-343","-164"
"日本人移動者","水戸市","","-32","-71","229","-32","-68","104","0","-3","125"
"日本人移動者","日立市","","-130","-302","-357","-70","-103","-232","-60","-199","-125"
"日本人移動者","土浦市","","33","-93","-82","-6","-23","27","39","-70","-109"
"日本人移動者","古河市","","52","-100","-102","25","-39","-29","27","-61","-73"
"日本人移動者","石岡市","","-38","-118","-77","-22","-19","-55","-16","-99","-22"
"日本人移動者","結城市","","-30","-73","-38","-19","-37","-13","-11","-36","-25"
"日本人移動者","龍ケ崎市","","54","-192","-159","55","-105","-78","-1","-87","-81"
"日本人移動者","下妻市","","-42","-72","-46","-27","-40","-29","-15","-32","-17"
"日本人移動者","常総市","","-54","-151","-124","-28","-49","-64","-26","-102","-60"
"日本人移動者","常陸太田市","","-67","-174","-124","-39","-68","-76","-28","-106","-48"
"日本人移動者","高萩市","","-29","-62","-38","-14","-23","-13","-15","-39","-25"
"日本人移動者","北茨城市","","-27","-119","-11","-20","-50","-4","-7","-69","-7"
"日本人移動者","笠間市","","-73","-159","-129","-44","-79","-48","-29","-80","-81"
"日本人移動者","取手市","","-12","-111","-30","-15","-49","-40","3","-62","10"
"日本人移動者","牛久市","","-7","-59","31","3","-52","17","-10","-7","14"
"日本人移動者","つくば市","","378","183","448","220","103","227","158","80","221"
"日本人移動者","ひたちなか市","","-87","-135","63","-34","-6","29","-53","-129","34"
"日本人移動者","鹿嶋市","","21","-107","1","35","-57","4","-14","-50","-3"
"日本人移動者","潮来市","","-32","-104","-32","-16","-43","-20","-16","-61","-12"
"日本人移動者","守谷市","","-4","-29","121","-5","-17","57","1","-12","64"
"日本人移動者","常陸大宮市","","-54","-115","-92","-39","-44","-32","-15","-71","-60"
"日本人移動者","那珂市","","-54","-135","14","-34","-80","14","-20","-55","0"
"日本人移動者","筑西市","","-57","-250","-147","-37","-124","-82","-20","-126","-65"
"日本人移動者","坂東市","","-35","-145","-88","-13","-72","-46","-22","-73","-42"
"日本人移動者","稲敷市","","-38","-153","-83","-18","-70","-47","-20","-83","-36"
"日本人移動者","かすみがうら市","","-13","-51","-92","5","7","-49","-18","-58","-43"
"日本人移動者","桜川市","","-40","-130","-89","-20","-58","-43","-20","-72","-46"
"日本人移動者","神栖市","","-43","48","71","10","73","16","-53","-25","55"
"日本人移動者","行方市","","-50","-108","-46","-16","-50","-7","-34","-58","-39"
"日本人移動者","鉾田市","","-67","-94","-29","-38","-41","-17","-29","-53","-12"
"日本人移動者","つくばみらい市","","1","-1","86","6","-1","47","-5","0","39"
"日本人移動者","小美玉市","","-23","-146","-90","-2","-57","-57","-21","-89","-33"
"日本人移動者","東茨城郡","","-2","-143","-89","3","-47","-37","-5","-96","-52"
"日本人移動者","那珂郡","","-43","-51","4","-14","-5","13","-29","-46","-9"
"日本人移動者","久慈郡","","-34","-68","-29","-17","-32","-19","-17","-36","-10"
"日本人移動者","稲敷郡","","-12","-104","-43","-21","-45","-11","9","-59","-32"
"日本人移動者","結城郡","","-13","-34","-18","-5","-10","0","-8","-24","-18"
"日本人移動者","猿島郡","","-18","-115","-40","-15","-61","-16","-3","-54","-24"
"日本人移動者","北相馬郡","","-14","-49","-29","-10","-21","-10","-4","-28","-19"
"日本人移動者","栃木県市部","","-666","-1,461","-189","-346","-217","-66","-320","-1,244","-123"
"日本人移動者","栃木県郡部","","-132","-359","-254","-72","-100","-163","-60","-259","-91"
"日本人移動者","宇都宮市","","-195","160","304","-88","258","130","-107","-98","174"
"日本人移動者","足利市","","-46","-338","-108","-26","-138","-64","-20","-200","-44"
"日本人移動者","栃木市","","-82","-294","-84","-42","-99","14","-40","-195","-98"
"日本人移動者","佐野市","","-61","-158","-42","-44","-25","-13","-17","-133","-29"
"日本人移動者","鹿沼市","","-76","-160","-104","-49","-61","-44","-27","-99","-60"
"日本人移動者","日光市","","-78","-141","-105","-42","-30","-43","-36","-111","-62"
"日本人移動者","小山市","","26","-69","33","40","2","22","-14","-71","11"
"日本人移動者","真岡市","","-47","-36","17","-14","23","-1","-33","-59","18"
"日本人移動者","大田原市","","-18","-126","-50","-16","-36","-43","-2","-90","-7"
"日本人移動者","矢板市","","-12","-91","-56","-10","-38","-29","-2","-53","-27"
"日本人移動者","那須塩原市","","-113","-65","53","-49","-28","52","-64","-37","1"
"日本人移動者","さくら市","","-20","-20","10","-2","0","-17","-18","-20","27"
"日本人移動者","那須烏山市","","-41","-56","-69","-27","-28","-32","-14","-28","-37"
"日本人移動者","下野市","","97","-67","12","23","-17","2","74","-50","10"
"日本人移動者","河内郡","","44","-47","33","37","-22","1","7","-25","32"
"日本人移動者","芳賀郡","","-60","-152","-79","-30","-67","-59","-30","-85","-20"
"日本人移動者","下都賀郡","","-18","-68","-79","-24","-41","-33","6","-27","-46"
"日本人移動者","塩谷郡","","-38","55","-53","-16","96","-25","-22","-41","-28"
"日本人移動者","那須郡","","-60","-147","-76","-39","-66","-47","-21","-81","-29"
"日本人移動者","群馬県市部","","-291","-2,636","-725","-71","-1,075","-376","-220","-1,561","-349"
"日本人移動者","群馬県郡部","","-44","-778","-341","-4","-339","-183","-40","-439","-158"
"日本人移動者","前橋市","","-63","-348","8","-51","-131","48","-12","-217","-40"
"日本人移動者","高崎市","","178","-590","2","121","-307","63","57","-283","-61"
"日本人移動者","桐生市","","-46","-333","-189","-14","-148","-98","-32","-185","-91"
"日本人移動者","伊勢崎市","","38","-272","-21","67","-107","-33","-29","-165","12"
"日本人移動者","太田市","","-73","-94","-56","-15","45","-76","-58","-139","20"
"日本人移動者","沼田市","","-68","-175","-106","-50","-85","-55","-18","-90","-51"
"日本人移動者","館林市","","-30","-133","-32","-20","-45","-25","-10","-88","-7"
"日本人移動者","渋川市","","-49","-162","-67","-20","-62","-38","-29","-100","-29"
"日本人移動者","藤岡市","","-52","-152","-53","-34","-86","-33","-18","-66","-20"
"日本人移動者","富岡市","","-57","-145","-80","-19","-54","-54","-38","-91","-26"
"日本人移動者","安中市","","-55","-122","-102","-31","-44","-53","-24","-78","-49"
"日本人移動者","みどり市","","-14","-110","-29","-5","-51","-22","-9","-59","-7"
"日本人移動者","北群馬郡","","-6","-43","27","6","-31","4","-12","-12","23"
"日本人移動者","多野郡","","-3","8","3","-4","4","5","1","4","-2"
"日本人移動者","甘楽郡","","-8","-57","-24","-10","-30","-14","2","-27","-10"
"日本人移動者","吾妻郡","","-55","-238","-100","-24","-92","-52","-31","-146","-48"
"日本人移動者","利根郡","","-34","-117","-54","-16","-45","-31","-18","-72","-23"
"日本人移動者","佐波郡","","19","-107","-59","-7","-49","-23","26","-58","-36"
"日本人移動者","邑楽郡","","43","-224","-134","51","-96","-72","-8","-128","-62"
"日本人移動者","埼玉県市部","","2,756","5,174","1,455","1,313","1,948","758","1,443","3,226","697"
"日本人移動者","埼玉県郡部","","-97","-1,108","-696","14","-562","-313","-111","-546","-383"
"日本人移動者","さいたま市","","791","2,864","1,524","432","1,067","762","359","1,797","762"
"日本人移動者","川越市","","191","106","-54","79","21","-12","112","85","-42"
"日本人移動者","熊谷市","","32","-225","-131","47","-97","-46","-15","-128","-85"
"日本人移動者","川口市","","136","1,540","513","58","809","294","78","731","219"
"日本人移動者","行田市","","12","-111","-69","8","-58","-43","4","-53","-26"
"日本人移動者","秩父市","","-55","-200","-43","-25","-101","-30","-30","-99","-13"
"日本人移動者","所沢市","","278","138","-120","110","21","-94","168","117","-26"
"日本人移動者","飯能市","","39","-195","-74","15","-53","-50","24","-142","-24"
"日本人移動者","加須市","","-25","-184","-107","-7","-92","-69","-18","-92","-38"
"日本人移動者","本庄市","","-13","-103","-13","-6","-42","-5","-7","-61","-8"
"日本人移動者","東松山市","","95","-152","-51","82","-75","-24","13","-77","-27"
"日本人移動者","春日部市","","40","-72","-92","15","-52","-33","25","-20","-59"
"日本人移動者","狭山市","","99","-116","-158","64","-51","-59","35","-65","-99"
"日本人移動者","羽生市","","-35","-81","-116","-26","-34","-71","-9","-47","-45"
"日本人移動者","鴻巣市","","13","-177","-93","6","-96","-53","7","-81","-40"
"日本人移動者","深谷市","","13","-234","-43","22","-118","-36","-9","-116","-7"
"日本人移動者","上尾市","","10","21","-21","-4","-14","-13","14","35","-8"
"日本人移動者","草加市","","198","322","58","103","101","50","95","221","8"
"日本人移動者","越谷市","","121","324","237","24","175","118","97","149","119"
"日本人移動者","蕨市","","51","350","-52","10","172","-25","41","178","-27"
"日本人移動者","戸田市","","103","420","214","28","164","70","75","256","144"
"日本人移動者","入間市","","-6","-251","-175","-34","-124","-96","28","-127","-79"
"日本人移動者","朝霞市","","119","429","205","40","205","63","79","224","142"
"日本人移動者","志木市","","22","55","61","3","31","55","19","24","6"
"日本人移動者","和光市","","121","584","184","71","314","69","50","270","115"
"日本人移動者","新座市","","51","17","20","28","-20","5","23","37","15"
"日本人移動者","桶川市","","33","-58","33","19","-34","25","14","-24","8"
"日本人移動者","久喜市","","-10","-153","-250","4","-42","-94","-14","-111","-156"
"日本人移動者","北本市","","-32","-101","-101","-14","-46","-52","-18","-55","-49"
"日本人移動者","八潮市","","16","329","320","11","149","164","5","180","156"
"日本人移動者","富士見市","","93","408","86","21","110","57","72","298","29"
"日本人移動者","三郷市","","6","94","55","5","30","41","1","64","14"
"日本人移動者","蓮田市","","-4","-17","16","-1","-28","12","-3","11","4"
"日本人移動者","坂戸市","","86","-75","-70","52","-57","-24","34","-18","-46"
"日本人移動者","幸手市","","4","-81","-76","1","-45","-22","3","-36","-54"
"日本人移動者","鶴ヶ島市","","24","-99","8","13","-51","-3","11","-48","11"
"日本人移動者","日高市","","-3","-83","-111","-10","-58","-45","7","-25","-66"
"日本人移動者","吉川市","","-4","16","20","-10","13","17","6","3","3"
"日本人移動者","ふじみ野市","","151","-23","-77","79","-25","-35","72","2","-42"
"日本人移動者","白岡市","","-5","-52","-2","0","-21","-10","-5","-31","8"
"日本人移動者","北足立郡","","24","-32","-22","17","-23","-18","7","-9","-4"
"日本人移動者","入間郡","","33","-172","-173","27","-115","-65","6","-57","-108"
"日本人移動者","比企郡","","-54","-326","-200","-14","-124","-89","-40","-202","-111"
"日本人移動者","秩父郡","","-48","-143","-62","-22","-58","-36","-26","-85","-26"
"日本人移動者","児玉郡","","-19","-123","-32","-2","-66","7","-17","-57","-39"
"日本人移動者","大里郡","","-9","-64","-51","1","-34","-19","-10","-30","-32"
"日本人移動者","南埼玉郡","","21","-44","5","23","-31","-16","-2","-13","21"
"日本人移動者","北葛飾郡","","-45","-204","-161","-16","-111","-77","-29","-93","-84"
"日本人移動者","千葉県市部","","2,974","5,078","327","1,812","2,085","-235","1,162","2,993","562"
