"","","","/表章項目","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】"
"","","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","時間軸（年次）","地域","/年齢","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳"
"日本人移動者","2021年","東津軽郡","","-38","-46","-12","-20","-22","-11","-18","-24","-1"
"日本人移動者","2021年","西津軽郡","","-38","-37","-12","-15","-15","-5","-23","-22","-7"
"日本人移動者","2021年","中津軽郡","","-2","-4","1","-1","-3","0","-1","-1","1"
"日本人移動者","2021年","南津軽郡","","-77","-47","-14","-35","-21","-7","-42","-26","-7"
"日本人移動者","2021年","北津軽郡","","-101","-80","-28","-59","-39","-14","-42","-41","-14"
"日本人移動者","2021年","上北郡","","-137","-90","50","-42","-10","18","-95","-80","32"
"日本人移動者","2021年","下北郡","","-43","-43","-2","-24","-15","-1","-19","-28","-1"
"日本人移動者","2021年","三戸郡","","-114","-181","-52","-56","-86","-40","-58","-95","-12"
"日本人移動者","2021年","岩手県市部","","-1,213","-1,257","-46","-577","-531","44","-636","-726","-90"
"日本人移動者","2021年","岩手県郡部","","-338","-510","-149","-176","-230","-63","-162","-280","-86"
"日本人移動者","2021年","盛岡市","","8","-204","31","-5","-150","25","13","-54","6"
"日本人移動者","2021年","宮古市","","-117","-177","-54","-54","-102","-19","-63","-75","-35"
"日本人移動者","2021年","大船渡市","","-89","-53","-48","-33","-11","-25","-56","-42","-23"
"日本人移動者","2021年","花巻市","","-84","-134","1","-52","-30","26","-32","-104","-25"
"日本人移動者","2021年","北上市","","-65","126","164","-19","129","99","-46","-3","65"
"日本人移動者","2021年","久慈市","","-124","-105","-46","-59","-48","-17","-65","-57","-29"
"日本人移動者","2021年","遠野市","","-53","-55","2","-24","-35","3","-29","-20","-1"
"日本人移動者","2021年","一関市","","-285","-149","-29","-155","-64","1","-130","-85","-30"
"日本人移動者","2021年","陸前高田市","","-38","-81","11","-14","-49","9","-24","-32","2"
"日本人移動者","2021年","釜石市","","-69","-42","7","-35","-16","-9","-34","-26","16"
"日本人移動者","2021年","二戸市","","-71","-44","-22","-40","-11","-1","-31","-33","-21"
"日本人移動者","2021年","八幡平市","","-41","-53","-25","-26","-28","-10","-15","-25","-15"
"日本人移動者","2021年","奥州市","","-246","-156","-6","-130","-50","-22","-116","-106","16"
"日本人移動者","2021年","滝沢市","","61","-130","-32","69","-66","-16","-8","-64","-16"
"日本人移動者","2021年","岩手郡","","-76","-87","-36","-47","-31","-13","-29","-56","-23"
"日本人移動者","2021年","紫波郡","","-80","-101","4","-45","-47","17","-35","-54","-13"
"日本人移動者","2021年","和賀郡","","-14","-19","3","-10","-11","4","-4","-8","-1"
"日本人移動者","2021年","胆沢郡","","38","-66","-15","40","-42","-8","-2","-24","-7"
"日本人移動者","2021年","西磐井郡","","-11","-20","6","-8","-11","-3","-3","-9","9"
"日本人移動者","2021年","気仙郡","","-17","-18","-15","-5","-9","-8","-12","-9","-7"
"日本人移動者","2021年","上閉伊郡","","-4","-34","-26","-5","-4","-15","1","-30","-11"
"日本人移動者","2021年","下閉伊郡","","-70","-50","-33","-44","-23","-19","-26","-27","-14"
"日本人移動者","2021年","九戸郡","","-85","-90","-29","-43","-35","-11","-42","-55","-18"
"日本人移動者","2021年","二戸郡","","-19","-25","-8","-9","-17","-7","-10","-8","-1"
"日本人移動者","2021年","宮城県市部","","737","180","-169","352","7","-67","385","173","-102"
"日本人移動者","2021年","宮城県郡部","","-134","-790","-193","-56","-342","-126","-78","-448","-67"
"日本人移動者","2021年","仙台市","","1,701","1,625","179","808","597","133","893","1,028","46"
"日本人移動者","2021年","石巻市","","-161","-254","-121","-75","-77","-85","-86","-177","-36"
"日本人移動者","2021年","塩竈市","","-29","-115","-35","-13","-39","-10","-16","-76","-25"
"日本人移動者","2021年","気仙沼市","","-158","-151","-40","-87","-78","-41","-71","-73","1"
"日本人移動者","2021年","白石市","","-48","-58","-8","-26","-12","3","-22","-46","-11"
"日本人移動者","2021年","名取市","","-55","-149","-4","-22","-108","-4","-33","-41","0"
"日本人移動者","2021年","角田市","","-20","-70","-78","1","-24","-47","-21","-46","-31"
"日本人移動者","2021年","多賀城市","","52","-38","-27","43","-55","-26","9","17","-1"
"日本人移動者","2021年","岩沼市","","-19","-31","43","-4","-7","27","-15","-24","16"
"日本人移動者","2021年","登米市","","-158","-162","-26","-92","-65","-32","-66","-97","6"
"日本人移動者","2021年","栗原市","","-75","-146","-60","-32","-39","-27","-43","-107","-33"
"日本人移動者","2021年","東松島市","","-11","-18","-14","4","-15","-2","-15","-3","-12"
"日本人移動者","2021年","大崎市","","-185","-66","1","-106","30","11","-79","-96","-10"
"日本人移動者","2021年","富谷市","","-97","-187","21","-47","-101","33","-50","-86","-12"
"日本人移動者","2021年","刈田郡","","-22","-32","-24","-15","-14","-12","-7","-18","-12"
"日本人移動者","2021年","柴田郡","","90","-187","-63","60","-71","-47","30","-116","-16"
"日本人移動者","2021年","伊具郡","","-17","-44","0","-5","-23","-1","-12","-21","1"
"日本人移動者","2021年","亘理郡","","-33","-48","15","-27","-17","14","-6","-31","1"
"日本人移動者","2021年","宮城郡","","-60","-236","34","-37","-129","22","-23","-107","12"
"日本人移動者","2021年","黒川郡","","12","-21","-114","18","-11","-70","-6","-10","-44"
"日本人移動者","2021年","加美郡","","-47","-94","-9","-24","-37","-16","-23","-57","7"
"日本人移動者","2021年","遠田郡","","-35","-93","-39","-20","-36","-13","-15","-57","-26"
