"","","","/表章項目","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】"
"","","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","時間軸（年次）","地域","/年齢","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳"
"日本人移動者","2021年","川口市","","55","1,232","591","-19","664","319","74","568","272"
"日本人移動者","2021年","行田市","","-9","-128","-134","6","-82","-53","-15","-46","-81"
"日本人移動者","2021年","秩父市","","-42","-156","-28","-23","-81","-15","-19","-75","-13"
"日本人移動者","2021年","所沢市","","256","208","18","81","3","72","175","205","-54"
"日本人移動者","2021年","飯能市","","29","-147","-118","30","-78","-64","-1","-69","-54"
"日本人移動者","2021年","加須市","","-35","-103","-69","-9","-60","-3","-26","-43","-66"
"日本人移動者","2021年","本庄市","","4","-91","-8","-6","-18","8","10","-73","-16"
"日本人移動者","2021年","東松山市","","146","-100","4","69","-77","0","77","-23","4"
"日本人移動者","2021年","春日部市","","32","-57","-41","0","-60","-13","32","3","-28"
"日本人移動者","2021年","狭山市","","76","47","-29","58","19","-23","18","28","-6"
"日本人移動者","2021年","羽生市","","10","-55","-2","5","-8","3","5","-47","-5"
"日本人移動者","2021年","鴻巣市","","26","-67","34","22","-8","17","4","-59","17"
"日本人移動者","2021年","深谷市","","-8","-137","63","-7","-54","34","-1","-83","29"
"日本人移動者","2021年","上尾市","","32","60","195","16","13","109","16","47","86"
"日本人移動者","2021年","草加市","","184","272","264","68","186","103","116","86","161"
"日本人移動者","2021年","越谷市","","118","191","24","20","50","40","98","141","-16"
"日本人移動者","2021年","蕨市","","28","361","52","18","200","39","10","161","13"
"日本人移動者","2021年","戸田市","","84","543","204","35","255","118","49","288","86"
"日本人移動者","2021年","入間市","","22","-205","-125","-19","-105","-66","41","-100","-59"
"日本人移動者","2021年","朝霞市","","107","121","103","47","100","42","60","21","61"
"日本人移動者","2021年","志木市","","46","110","46","25","36","29","21","74","17"
"日本人移動者","2021年","和光市","","188","394","-14","104","175","-22","84","219","8"
"日本人移動者","2021年","新座市","","77","32","16","15","-10","-21","62","42","37"
"日本人移動者","2021年","桶川市","","-11","-56","10","-6","-20","5","-5","-36","5"
"日本人移動者","2021年","久喜市","","-19","-140","-91","-14","-91","-36","-5","-49","-55"
"日本人移動者","2021年","北本市","","-4","-66","-6","-9","-31","-26","5","-35","20"
"日本人移動者","2021年","八潮市","","-16","316","74","-5","152","47","-11","164","27"
"日本人移動者","2021年","富士見市","","50","214","110","-8","61","84","58","153","26"
"日本人移動者","2021年","三郷市","","6","79","92","11","31","52","-5","48","40"
"日本人移動者","2021年","蓮田市","","32","45","75","15","6","49","17","39","26"
"日本人移動者","2021年","坂戸市","","91","-68","-103","40","-48","-50","51","-20","-53"
"日本人移動者","2021年","幸手市","","-16","-66","-76","-7","-12","-43","-9","-54","-33"
"日本人移動者","2021年","鶴ヶ島市","","56","-37","-27","21","-9","-3","35","-28","-24"
"日本人移動者","2021年","日高市","","-9","-99","-76","-4","-50","-18","-5","-49","-58"
"日本人移動者","2021年","吉川市","","-5","12","40","-5","-26","28","0","38","12"
"日本人移動者","2021年","ふじみ野市","","53","9","2","37","-5","28","16","14","-26"
"日本人移動者","2021年","白岡市","","-7","15","69","-6","-15","61","-1","30","8"
"日本人移動者","2021年","北足立郡","","12","-48","-8","8","-38","-13","4","-10","5"
"日本人移動者","2021年","入間郡","","65","-134","-120","34","-97","-26","31","-37","-94"
"日本人移動者","2021年","比企郡","","-17","-261","-142","4","-118","-67","-21","-143","-75"
"日本人移動者","2021年","秩父郡","","-67","-165","-45","-33","-70","-26","-34","-95","-19"
"日本人移動者","2021年","児玉郡","","-25","-98","-28","-2","-39","-1","-23","-59","-27"
"日本人移動者","2021年","大里郡","","-9","-75","-11","-6","-28","-12","-3","-47","1"
"日本人移動者","2021年","南埼玉郡","","28","-16","-31","24","-13","14","4","-3","-45"
"日本人移動者","2021年","北葛飾郡","","-6","-186","-24","-15","-101","-4","9","-85","-20"
"日本人移動者","2021年","千葉県市部","","2,130","3,045","1,471","1,338","1,459","732","792","1,586","739"
"日本人移動者","2021年","千葉県郡部","","-75","-697","-218","-21","-329","-111","-54","-368","-107"
"日本人移動者","2021年","千葉市","","594","575","260","244","255","177","350","320","83"
"日本人移動者","2021年","銚子市","","-31","-192","-90","-15","-97","-49","-16","-95","-41"
"日本人移動者","2021年","市川市","","216","2,121","501","86","1,224","229","130","897","272"
"日本人移動者","2021年","船橋市","","362","1,477","550","272","784","200","90","693","350"
"日本人移動者","2021年","館山市","","-101","-15","26","-60","4","9","-41","-19","17"
"日本人移動者","2021年","木更津市","","8","-22","76","19","-1","68","-11","-21","8"
"日本人移動者","2021年","松戸市","","160","769","260","72","315","166","88","454","94"
"日本人移動者","2021年","野田市","","121","-98","-2","88","-26","-9","33","-72","7"
"日本人移動者","2021年","茂原市","","-19","-32","14","-20","11","0","1","-43","14"
"日本人移動者","2021年","成田市","","110","-71","-448","55","62","-187","55","-133","-261"
"日本人移動者","2021年","佐倉市","","-23","-326","-259","-12","-186","-111","-11","-140","-148"
"日本人移動者","2021年","東金市","","85","-63","-49","44","-17","-13","41","-46","-36"
"日本人移動者","2021年","旭市","","-49","-77","3","-36","-23","-10","-13","-54","13"
"日本人移動者","2021年","習志野市","","395","-44","69","318","-113","30","77","69","39"
"日本人移動者","2021年","柏市","","141","460","460","84","205","221","57","255","239"
"日本人移動者","2021年","勝浦市","","59","-235","-21","57","-188","-15","2","-47","-6"
"日本人移動者","2021年","市原市","","137","-163","-190","144","-57","-75","-7","-106","-115"
"日本人移動者","2021年","流山市","","26","246","872","27","101","385","-1","145","487"
"日本人移動者","2021年","八千代市","","30","-44","155","21","-73","118","9","29","37"
"日本人移動者","2021年","我孫子市","","47","-65","67","28","-64","26","19","-1","41"
"日本人移動者","2021年","鴨川市","","-9","79","-37","-25","7","7","16","72","-44"
"日本人移動者","2021年","鎌ケ谷市","","42","6","15","26","-7","-3","16","13","18"
"日本人移動者","2021年","君津市","","31","-178","-117","48","-156","-86","-17","-22","-31"
"日本人移動者","2021年","富津市","","22","-130","-66","29","-72","-54","-7","-58","-12"
"日本人移動者","2021年","浦安市","","131","551","-642","27","229","-293","104","322","-349"
"日本人移動者","2021年","四街道市","","9","-51","148","12","-40","66","-3","-11","82"
"日本人移動者","2021年","袖ケ浦市","","-36","-45","105","-18","-12","36","-18","-33","69"
"日本人移動者","2021年","八街市","","-44","-183","-110","-12","-81","-38","-32","-102","-72"
"日本人移動者","2021年","印西市","","-8","-367","220","-23","-220","93","15","-147","127"
"日本人移動者","2021年","白井市","","-30","-140","-82","-20","-47","-39","-10","-93","-43"
"日本人移動者","2021年","富里市","","21","52","20","20","56","15","1","-4","5"
"日本人移動者","2021年","南房総市","","-88","-98","-9","-47","-55","-11","-41","-43","2"
"日本人移動者","2021年","匝瑳市","","-43","-90","-58","-17","-39","-25","-26","-51","-33"
"日本人移動者","2021年","香取市","","-55","-194","-42","-36","-71","-18","-19","-123","-24"
"日本人移動者","2021年","山武市","","-31","-153","-78","-23","-54","-41","-8","-99","-37"
"日本人移動者","2021年","いすみ市","","-27","-98","-26","-14","-45","-20","-13","-53","-6"
"日本人移動者","2021年","大網白里市","","-23","-117","-24","-5","-50","-17","-18","-67","-7"
"日本人移動者","2021年","印旛郡","","114","-183","-78","72","-89","-24","42","-94","-54"
"日本人移動者","2021年","香取郡","","-48","-107","-27","-25","-56","-8","-23","-51","-19"
"日本人移動者","2021年","山武郡","","-63","-115","-30","-26","-41","-31","-37","-74","1"
"日本人移動者","2021年","長生郡","","-41","-208","-61","-20","-112","-32","-21","-96","-29"
"日本人移動者","2021年","夷隅郡","","-24","-57","-7","-14","-19","-9","-10","-38","2"
"日本人移動者","2021年","安房郡","","-13","-27","-15","-8","-12","-7","-5","-15","-8"
"日本人移動者","2021年","東京都市部","","14,204","51,729","8,629","6,797","24,263","5,502","7,407","27,466","3,127"
"日本人移動者","2021年","東京都郡部","","-77","-92","-13","-26","-35","-9","-51","-57","-4"
"日本人移動者","2021年","東京都特別区部","","8,027","49,656","10,673","3,704","23,679","6,381","4,323","25,977","4,292"
"日本人移動者","2021年","八王子市","","2,180","-870","-433","1,252","-499","-140","928","-371","-293"
"日本人移動者","2021年","立川市","","192","477","67","85","208","48","107","269","19"
"日本人移動者","2021年","武蔵野市","","250","479","227","102","193","158","148","286","69"
"日本人移動者","2021年","三鷹市","","352","419","-259","193","235","-144","159","184","-115"
"日本人移動者","2021年","青梅市","","-22","-180","-225","13","-51","-112","-35","-129","-113"
"日本人移動者","2021年","府中市","","301","340","-161","147","85","-156","154","255","-5"
"日本人移動者","2021年","昭島市","","40","130","100","26","72","74","14","58","26"
"日本人移動者","2021年","調布市","","340","653","-365","164","288","-205","176","365","-160"
"日本人移動者","2021年","町田市","","443","-63","-118","194","-45","-33","249","-18","-85"
"日本人移動者","2021年","小金井市","","252","225","28","127","73","26","125","152","2"
"日本人移動者","2021年","小平市","","405","-59","-220","160","-104","-108","245","45","-112"
"日本人移動者","2021年","日野市","","205","193","-6","93","105","-54","112","88","48"
"日本人移動者","2021年","東村山市","","86","-83","18","32","-76","29","54","-7","-11"
"日本人移動者","2021年","国分寺市","","258","348","-69","111","157","-7","147","191","-62"
"日本人移動者","2021年","国立市","","146","98","-57","63","40","-32","83","58","-25"
"日本人移動者","2021年","福生市","","29","69","-53","20","55","-6","9","14","-47"
"日本人移動者","2021年","狛江市","","116","243","-96","69","80","-20","47","163","-76"
"日本人移動者","2021年","東大和市","","28","12","45","-3","19","4","31","-7","41"
"日本人移動者","2021年","清瀬市","","58","-4","-29","12","-38","-18","46","34","-11"
"日本人移動者","2021年","東久留米市","","8","-151","-28","-6","-57","-59","14","-94","31"
"日本人移動者","2021年","武蔵村山市","","13","-80","-55","-2","-35","-11","15","-45","-44"
"日本人移動者","2021年","多摩市","","185","-98","-196","100","-49","-38","85","-49","-158"
"日本人移動者","2021年","稲城市","","41","60","2","7","17","6","34","43","-4"
"日本人移動者","2021年","羽村市","","20","-29","-8","8","-25","-14","12","-4","6"
"日本人移動者","2021年","あきる野市","","5","-152","-9","-2","-85","16","7","-67","-25"
"日本人移動者","2021年","西東京市","","246","96","-144","128","21","-83","118","75","-61"
"日本人移動者","2021年","西多摩郡","","15","-120","-72","15","-64","-26","0","-56","-46"
"日本人移動者","2021年","大島支庁","","-46","0","14","-15","3","3","-31","-3","11"
"日本人移動者","2021年","三宅支庁","","-2","11","6","-2","5","-3","0","6","9"
"日本人移動者","2021年","八丈支庁","","-35","13","17","-21","13","5","-14","0","12"
"日本人移動者","2021年","小笠原支庁","","-9","4","22","-3","8","12","-6","-4","10"
"日本人移動者","2021年","神奈川県市部","","5,277","13,075","4,218","2,968","6,117","2,163","2,309","6,958","2,055"
"日本人移動者","2021年","神奈川県郡部","","-102","-524","-324","-63","-241","-150","-39","-283","-174"
"日本人移動者","2021年","横浜市","","1,953","5,827","699","1,010","2,820","392","943","3,007","307"
"日本人移動者","2021年","川崎市","","1,253","7,741","2,263","741","3,908","1,040","512","3,833","1,223"
"日本人移動者","2021年","相模原市","","574","532","339","197","174","232","377","358","107"
"日本人移動者","2021年","横須賀市","","598","-1,051","-447","527","-723","-305","71","-328","-142"
"日本人移動者","2021年","平塚市","","93","-126","-81","34","-48","-63","59","-78","-18"
"日本人移動者","2021年","鎌倉市","","14","-181","23","-2","-93","7","16","-88","16"
"日本人移動者","2021年","藤沢市","","185","336","729","134","166","386","51","170","343"
"日本人移動者","2021年","小田原市","","3","-100","-60","-22","-74","-4","25","-26","-56"
"日本人移動者","2021年","茅ヶ崎市","","27","-169","311","22","-119","217","5","-50","94"
"日本人移動者","2021年","逗子市","","-23","-125","61","-18","-76","57","-5","-49","4"
"日本人移動者","2021年","三浦市","","-24","-62","-44","-14","-14","-15","-10","-48","-29"
"日本人移動者","2021年","秦野市","","112","-287","-91","87","-207","-75","25","-80","-16"
"日本人移動者","2021年","厚木市","","229","203","-44","124","160","-13","105","43","-31"
"日本人移動者","2021年","大和市","","133","476","470","36","201","189","97","275","281"
"日本人移動者","2021年","伊勢原市","","83","81","-86","69","33","-44","14","48","-42"
"日本人移動者","2021年","海老名市","","30","141","257","23","100","153","7","41","104"
"日本人移動者","2021年","座間市","","82","-22","-75","44","-7","2","38","-15","-77"
"日本人移動者","2021年","南足柄市","","-25","-65","-35","-8","-28","-21","-17","-37","-14"
"日本人移動者","2021年","綾瀬市","","-20","-74","29","-16","-56","28","-4","-18","1"
"日本人移動者","2021年","三浦郡","","-47","-115","-42","-29","-52","-22","-18","-63","-20"
"日本人移動者","2021年","高座郡","","-9","-14","-18","-9","0","2","0","-14","-20"
"日本人移動者","2021年","中郡","","-26","-183","-74","-16","-80","-30","-10","-103","-44"
"日本人移動者","2021年","足柄上郡","","-12","-149","-52","-13","-90","-39","1","-59","-13"
"日本人移動者","2021年","足柄下郡","","-11","9","-82","-8","9","-32","-3","0","-50"
"日本人移動者","2021年","愛甲郡","","3","-72","-56","12","-28","-29","-9","-44","-27"
"日本人移動者","2021年","新潟県市部","","-1,207","-3,835","-470","-547","-1,693","-281","-660","-2,142","-189"
"日本人移動者","2021年","新潟県郡部","","-35","-211","-69","21","-122","-51","-56","-89","-18"
"日本人移動者","2021年","新潟市","","151","-925","102","26","-484","58","125","-441","44"
"日本人移動者","2021年","長岡市","","-205","-293","-47","-116","-64","-69","-89","-229","22"
"日本人移動者","2021年","三条市","","-79","-193","-67","-25","-96","-15","-54","-97","-52"
"日本人移動者","2021年","柏崎市","","-69","-184","-75","-23","-77","-33","-46","-107","-42"
"日本人移動者","2021年","新発田市","","-20","-189","-106","22","-92","-56","-42","-97","-50"
"日本人移動者","2021年","小千谷市","","-52","-96","-28","-31","-36","-16","-21","-60","-12"
"日本人移動者","2021年","加茂市","","-11","-94","-38","-1","-41","-23","-10","-53","-15"
"日本人移動者","2021年","十日町市","","-112","-129","-22","-44","-53","-18","-68","-76","-4"
"日本人移動者","2021年","見附市","","-36","-81","-23","-26","-38","-15","-10","-43","-8"
"日本人移動者","2021年","村上市","","-75","-208","-51","-40","-89","-19","-35","-119","-32"
"日本人移動者","2021年","燕市","","-106","-88","44","-51","-31","30","-55","-57","14"
"日本人移動者","2021年","糸魚川市","","-83","-111","-25","-35","-63","-13","-48","-48","-12"
"日本人移動者","2021年","妙高市","","-34","-96","-32","-16","-29","-28","-18","-67","-4"
"日本人移動者","2021年","五泉市","","-32","-131","-30","-18","-61","-26","-14","-70","-4"
"日本人移動者","2021年","上越市","","-210","-337","-22","-67","-123","-16","-143","-214","-6"
"日本人移動者","2021年","阿賀野市","","-40","-138","-4","-19","-72","-10","-21","-66","6"
"日本人移動者","2021年","佐渡市","","-52","-194","-22","-16","-88","-8","-36","-106","-14"
"日本人移動者","2021年","魚沼市","","-62","-120","-32","-28","-45","-11","-34","-75","-21"
"日本人移動者","2021年","南魚沼市","","-64","-150","7","-36","-81","-3","-28","-69","10"
"日本人移動者","2021年","胎内市","","-16","-78","1","-3","-30","10","-13","-48","-9"
"日本人移動者","2021年","北蒲原郡","","41","-46","-18","47","-35","-25","-6","-11","7"
"日本人移動者","2021年","西蒲原郡","","-12","-20","-5","-4","-8","-2","-8","-12","-3"
"日本人移動者","2021年","南蒲原郡","","-4","-36","-15","-4","-22","-17","0","-14","2"
"日本人移動者","2021年","東蒲原郡","","-5","-19","-8","0","-17","-2","-5","-2","-6"
"日本人移動者","2021年","三島郡","","-2","-10","-2","-1","-3","0","-1","-7","-2"
"日本人移動者","2021年","南魚沼郡","","-9","-23","3","-5","-13","0","-4","-10","3"
"日本人移動者","2021年","中魚沼郡","","-27","-19","-9","-11","-3","1","-16","-16","-10"
"日本人移動者","2021年","刈羽郡","","-8","-19","-4","-2","-8","-2","-6","-11","-2"
"日本人移動者","2021年","岩船郡","","-9","-19","-11","1","-13","-4","-10","-6","-7"
"日本人移動者","2021年","富山県市部","","-481","-825","-205","-204","-270","-93","-277","-555","-112"
"日本人移動者","2021年","富山県郡部","","-78","-260","-138","-33","-119","-82","-45","-141","-56"
"日本人移動者","2021年","富山市","","-58","-118","65","11","4","57","-69","-122","8"
"日本人移動者","2021年","高岡市","","-101","-150","-34","-56","-52","-16","-45","-98","-18"
"日本人移動者","2021年","魚津市","","-51","-11","-41","-19","-6","-11","-32","-5","-30"
"日本人移動者","2021年","氷見市","","-32","-139","-93","-11","-67","-48","-21","-72","-45"
"日本人移動者","2021年","滑川市","","-29","-6","18","-17","10","-8","-12","-16","26"
"日本人移動者","2021年","黒部市","","-29","-25","-31","-17","20","-37","-12","-45","6"
"日本人移動者","2021年","砺波市","","-39","-59","8","-19","-32","23","-20","-27","-15"
"日本人移動者","2021年","小矢部市","","-31","-67","-36","-20","-38","-18","-11","-29","-18"
"日本人移動者","2021年","南砺市","","-54","-120","-100","-38","-42","-62","-16","-78","-38"
"日本人移動者","2021年","射水市","","-57","-130","39","-18","-67","27","-39","-63","12"
"日本人移動者","2021年","中新川郡","","-48","-135","-58","-20","-70","-36","-28","-65","-22"
"日本人移動者","2021年","下新川郡","","-30","-125","-80","-13","-49","-46","-17","-76","-34"
"日本人移動者","2021年","石川県市部","","811","-1,364","-132","575","-837","-110","236","-527","-22"
"日本人移動者","2021年","石川県郡部","","-116","-310","-155","-69","-157","-76","-47","-153","-79"
"日本人移動者","2021年","金沢市","","726","-247","-170","435","-237","-72","291","-10","-98"
"日本人移動者","2021年","七尾市","","-22","-104","-62","-15","-43","-26","-7","-61","-36"
"日本人移動者","2021年","小松市","","12","-210","-24","20","-110","-10","-8","-100","-14"
"日本人移動者","2021年","輪島市","","-8","-179","-23","-12","-77","-10","4","-102","-13"
"日本人移動者","2021年","珠洲市","","-21","-35","-15","-6","-16","-12","-15","-19","-3"
"日本人移動者","2021年","加賀市","","-57","-116","-99","-24","-59","-47","-33","-57","-52"
"日本人移動者","2021年","羽咋市","","-16","-42","-11","-12","-27","-10","-4","-15","-1"
"日本人移動者","2021年","かほく市","","-18","-53","66","-17","-12","25","-1","-41","41"
"日本人移動者","2021年","白山市","","-86","-192","43","-66","-94","6","-20","-98","37"
"日本人移動者","2021年","能美市","","-26","-69","24","-8","-18","0","-18","-51","24"
"日本人移動者","2021年","野々市市","","327","-117","139","280","-144","46","47","27","93"
"日本人移動者","2021年","能美郡","","-16","-6","4","-11","-8","6","-5","2","-2"
"日本人移動者","2021年","河北郡","","-22","-143","-31","-23","-91","-18","1","-52","-13"
"日本人移動者","2021年","羽咋郡","","-35","-91","-62","-12","-32","-23","-23","-59","-39"
"日本人移動者","2021年","鹿島郡","","-20","-41","-13","-12","-9","-6","-8","-32","-7"
"日本人移動者","2021年","鳳珠郡","","-23","-29","-53","-11","-17","-35","-12","-12","-18"
"日本人移動者","2021年","福井県市部","","-316","-965","-139","-164","-369","-77","-152","-596","-62"
"日本人移動者","2021年","福井県郡部","","-64","-253","-135","-39","-95","-78","-25","-158","-57"
"日本人移動者","2021年","福井市","","-46","-305","6","16","-122","19","-62","-183","-13"
"日本人移動者","2021年","敦賀市","","-48","-38","-31","-28","15","-40","-20","-53","9"
"日本人移動者","2021年","小浜市","","-23","2","-17","-11","10","0","-12","-8","-17"
"日本人移動者","2021年","大野市","","-19","-110","-63","-18","-54","-35","-1","-56","-28"
"日本人移動者","2021年","勝山市","","-13","-52","-44","-6","-18","-27","-7","-34","-17"
"日本人移動者","2021年","鯖江市","","-61","-65","87","-47","-27","52","-14","-38","35"
"日本人移動者","2021年","あわら市","","-26","-72","-9","-19","-27","-3","-7","-45","-6"
"日本人移動者","2021年","越前市","","-45","-121","-5","-28","-55","3","-17","-66","-8"
"日本人移動者","2021年","坂井市","","-35","-204","-63","-23","-91","-46","-12","-113","-17"
"日本人移動者","2021年","吉田郡","","1","-30","-17","-2","-8","-11","3","-22","-6"
"日本人移動者","2021年","今立郡","","-3","0","-2","-2","1","0","-1","-1","-2"
"日本人移動者","2021年","南条郡","","-6","-34","-29","-3","-22","-20","-3","-12","-9"
"日本人移動者","2021年","丹生郡","","0","-73","-45","-2","-31","-24","2","-42","-21"
"日本人移動者","2021年","三方郡","","-11","-4","5","-5","3","5","-6","-7","0"
"日本人移動者","2021年","大飯郡","","-18","-61","-9","-10","-30","-12","-8","-31","3"
"日本人移動者","2021年","三方上中郡","","-27","-51","-38","-15","-8","-16","-12","-43","-22"
"日本人移動者","2021年","山梨県市部","","190","-1,340","9","-33","-527","15","223","-813","-6"
"日本人移動者","2021年","山梨県郡部","","-59","-178","-41","-6","-72","-24","-53","-106","-17"
"日本人移動者","2021年","甲府市","","236","-177","61","111","-48","15","125","-129","46"
"日本人移動者","2021年","富士吉田市","","-35","-83","-21","-22","-36","11","-13","-47","-32"
"日本人移動者","2021年","都留市","","285","-324","-27","80","-117","-24","205","-207","-3"
"日本人移動者","2021年","山梨市","","-37","-82","-34","-15","-36","-17","-22","-46","-17"
"日本人移動者","2021年","大月市","","8","-133","-42","-3","-75","-13","11","-58","-29"
"日本人移動者","2021年","韮崎市","","-27","-32","-28","-13","26","-32","-14","-58","4"
"日本人移動者","2021年","南アルプス市","","-27","-125","19","-26","-61","13","-1","-64","6"
"日本人移動者","2021年","北杜市","","-55","-110","-47","-41","-61","-25","-14","-49","-22"
"日本人移動者","2021年","甲斐市","","-98","10","159","-65","30","101","-33","-20","58"
"日本人移動者","2021年","笛吹市","","-39","-116","57","-32","-64","18","-7","-52","39"
"日本人移動者","2021年","上野原市","","31","-86","6","25","-45","10","6","-41","-4"
"日本人移動者","2021年","甲州市","","-28","-76","-67","-16","-41","-36","-12","-35","-31"
"日本人移動者","2021年","中央市","","-24","-6","-27","-16","1","-6","-8","-7","-21"
"日本人移動者","2021年","西八代郡","","-13","-46","-31","-6","-25","-18","-7","-21","-13"
"日本人移動者","2021年","南巨摩郡","","-21","-105","-35","-6","-44","-21","-15","-61","-14"
"日本人移動者","2021年","中巨摩郡","","-7","28","24","-4","10","10","-3","18","14"
"日本人移動者","2021年","南都留郡","","-11","-60","1","13","-17","2","-24","-43","-1"
"日本人移動者","2021年","北都留郡","","-7","5","0","-3","4","3","-4","1","-3"
"日本人移動者","2021年","長野県市部","","-1,372","-2,197","135","-624","-902","-65","-748","-1,295","200"
"日本人移動者","2021年","長野県郡部","","-558","-895","-300","-289","-391","-120","-269","-504","-180"
"日本人移動者","2021年","長野市","","-260","-430","50","-128","-171","1","-132","-259","49"
"日本人移動者","2021年","松本市","","-38","-37","120","11","16","5","-49","-53","115"
"日本人移動者","2021年","上田市","","-87","-228","56","-42","-103","30","-45","-125","26"
"日本人移動者","2021年","岡谷市","","-71","-138","3","-31","-59","2","-40","-79","1"
"日本人移動者","2021年","飯田市","","-146","-168","-16","-78","-56","-33","-68","-112","17"
"日本人移動者","2021年","諏訪市","","-46","-30","-21","-24","-8","-8","-22","-22","-13"
"日本人移動者","2021年","須坂市","","-53","-77","8","-31","-46","11","-22","-31","-3"
"日本人移動者","2021年","小諸市","","-56","-17","7","-31","2","7","-25","-19","0"
"日本人移動者","2021年","伊那市","","-107","-148","-35","-47","-63","-7","-60","-85","-28"
"日本人移動者","2021年","駒ヶ根市","","-28","-42","-19","-17","6","-20","-11","-48","1"
"日本人移動者","2021年","中野市","","-55","-90","-44","-31","-40","-20","-24","-50","-24"
"日本人移動者","2021年","大町市","","-49","-69","-24","-23","-37","-25","-26","-32","1"
"日本人移動者","2021年","飯山市","","-30","-52","-29","-7","-27","-15","-23","-25","-14"
"日本人移動者","2021年","茅野市","","28","-178","-10","50","-123","-6","-22","-55","-4"
"日本人移動者","2021年","塩尻市","","-79","-66","15","-38","-14","17","-41","-52","-2"
"日本人移動者","2021年","佐久市","","-117","-75","45","-62","-12","17","-55","-63","28"
"日本人移動者","2021年","千曲市","","-55","-103","78","-29","-66","33","-26","-37","45"
"日本人移動者","2021年","東御市","","-19","-27","-22","-8","1","-14","-11","-28","-8"
"日本人移動者","2021年","安曇野市","","-104","-222","-27","-58","-102","-40","-46","-120","13"
"日本人移動者","2021年","南佐久郡","","-33","-72","-46","-22","-25","-9","-11","-47","-37"
"日本人移動者","2021年","北佐久郡","","-44","-49","-33","-22","-43","-15","-22","-6","-18"
"日本人移動者","2021年","小県郡","","-9","-23","-17","-5","-12","-12","-4","-11","-5"
"日本人移動者","2021年","諏訪郡","","-39","-100","-30","-13","-35","2","-26","-65","-32"
"日本人移動者","2021年","上伊那郡","","-85","-126","-2","-44","-63","-11","-41","-63","9"
"日本人移動者","2021年","下伊那郡","","-125","-150","-18","-59","-55","4","-66","-95","-22"
"日本人移動者","2021年","木曽郡","","-46","-60","-15","-27","-30","-16","-19","-30","1"
"日本人移動者","2021年","東筑摩郡","","-26","-43","-36","-13","-19","-13","-13","-24","-23"
"日本人移動者","2021年","北安曇郡","","-51","-84","-23","-22","-38","-3","-29","-46","-20"
"日本人移動者","2021年","埴科郡","","-18","-24","-14","-12","-7","-10","-6","-17","-4"
"日本人移動者","2021年","上高井郡","","-28","-56","-11","-23","-19","-5","-5","-37","-6"
"日本人移動者","2021年","下高井郡","","-19","-44","-28","-5","-14","-20","-14","-30","-8"
"日本人移動者","2021年","上水内郡","","-26","-51","-24","-16","-23","-11","-10","-28","-13"
"日本人移動者","2021年","下水内郡","","-9","-13","-3","-6","-8","-1","-3","-5","-2"
"日本人移動者","2021年","岐阜県市部","","-846","-2,503","-1,209","-491","-1,192","-486","-355","-1,311","-723"
"日本人移動者","2021年","岐阜県郡部","","-163","-578","-275","-102","-251","-129","-61","-327","-146"
"日本人移動者","2021年","岐阜市","","-20","-244","-283","-31","-183","-97","11","-61","-186"
"日本人移動者","2021年","大垣市","","-24","-64","-104","-8","-39","-17","-16","-25","-87"
"日本人移動者","2021年","高山市","","-167","-275","-18","-91","-132","-6","-76","-143","-12"
"日本人移動者","2021年","多治見市","","-64","-259","-105","-53","-130","-19","-11","-129","-86"
"日本人移動者","2021年","関市","","-2","-186","-65","2","-108","-46","-4","-78","-19"
"日本人移動者","2021年","中津川市","","-113","-133","-8","-68","-39","-11","-45","-94","3"
"日本人移動者","2021年","美濃市","","-12","-41","-41","-4","-12","-30","-8","-29","-11"
"日本人移動者","2021年","瑞浪市","","-27","-93","-41","-20","-36","-18","-7","-57","-23"
"日本人移動者","2021年","羽島市","","-15","-75","-38","-16","-42","-8","1","-33","-30"
"日本人移動者","2021年","恵那市","","-68","-132","-30","-32","-55","-7","-36","-77","-23"
"日本人移動者","2021年","美濃加茂市","","12","-75","-43","-7","-30","-26","19","-45","-17"
"日本人移動者","2021年","土岐市","","-40","-66","-76","-31","-30","-35","-9","-36","-41"
"日本人移動者","2021年","各務原市","","-2","-86","-102","5","-18","-60","-7","-68","-42"
"日本人移動者","2021年","可児市","","-51","-198","-58","-28","-99","-23","-23","-99","-35"
"日本人移動者","2021年","山県市","","-21","-84","-29","-11","-37","-9","-10","-47","-20"
"日本人移動者","2021年","瑞穂市","","25","23","69","34","22","43","-9","1","26"
"日本人移動者","2021年","飛騨市","","-70","-71","-8","-38","-23","-9","-32","-48","1"
"日本人移動者","2021年","本巣市","","-17","-98","-50","-8","-53","-22","-9","-45","-28"
"日本人移動者","2021年","郡上市","","-85","-140","-78","-44","-52","-39","-41","-88","-39"
"日本人移動者","2021年","下呂市","","-64","-97","-11","-37","-54","-10","-27","-43","-1"
"日本人移動者","2021年","海津市","","-21","-109","-90","-5","-42","-37","-16","-67","-53"
"日本人移動者","2021年","羽島郡","","-3","48","132","-10","30","61","7","18","71"
"日本人移動者","2021年","養老郡","","-25","-78","-63","-16","-36","-17","-9","-42","-46"
