"","","","/表章項目","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】"
"日本人移動者","2020年","稚内市","","-81","13","-14","-31","34","-1","-50","-21","-13"
"日本人移動者","2020年","美唄市","","-19","-69","-18","-4","-30","-5","-15","-39","-13"
"日本人移動者","2020年","芦別市","","-8","-47","-6","6","-27","2","-14","-20","-8"
"日本人移動者","2020年","江別市","","308","-638","-87","183","-357","-39","125","-281","-48"
"日本人移動者","2020年","赤平市","","-8","-16","-5","-4","-2","-6","-4","-14","1"
"日本人移動者","2020年","紋別市","","-37","9","-15","-28","16","-8","-9","-7","-7"
"日本人移動者","2020年","士別市","","-44","-70","-22","-22","-31","-13","-22","-39","-9"
"日本人移動者","2020年","名寄市","","132","-54","25","52","-6","28","80","-48","-3"
"日本人移動者","2020年","三笠市","","-21","3","2","-12","3","2","-9","0","0"
"日本人移動者","2020年","根室市","","-48","-46","-7","-20","-20","-13","-28","-26","6"
"日本人移動者","2020年","千歳市","","449","-119","50","338","-112","-8","111","-7","58"
"日本人移動者","2020年","滝川市","","54","-187","-33","43","-126","4","11","-61","-37"
"日本人移動者","2020年","砂川市","","-4","-36","-17","-6","-30","-8","2","-6","-9"
"日本人移動者","2020年","歌志内市","","-6","-3","-2","-2","0","-2","-4","-3","0"
"日本人移動者","2020年","深川市","","50","-109","-27","39","-62","-11","11","-47","-16"
"日本人移動者","2020年","富良野市","","-48","-52","-45","-32","-20","-15","-16","-32","-30"
"日本人移動者","2020年","登別市","","22","-157","-54","39","-88","1","-17","-69","-55"
"日本人移動者","2020年","恵庭市","","133","-179","-7","62","-75","-6","71","-104","-1"
"日本人移動者","2020年","伊達市","","-65","-33","-22","-33","-20","-14","-32","-13","-8"
"日本人移動者","2020年","北広島市","","-30","-217","7","-17","-119","12","-13","-98","-5"
"日本人移動者","2020年","石狩市","","-52","-205","37","-34","-91","27","-18","-114","10"
"日本人移動者","2020年","北斗市","","-98","-72","-30","-66","-29","-14","-32","-43","-16"
"日本人移動者","2020年","石狩振興局","","30","-90","-34","8","-40","-11","22","-50","-23"
"日本人移動者","2020年","渡島総合振興局","","-260","-172","-43","-128","-57","-20","-132","-115","-23"
"日本人移動者","2020年","檜山振興局","","-43","-59","-2","-19","-5","-11","-24","-54","9"
"日本人移動者","2020年","後志総合振興局","","-231","-48","-52","-112","12","-39","-119","-60","-13"
"日本人移動者","2020年","空知総合振興局","","-91","-174","-17","-47","-75","-22","-44","-99","5"
"日本人移動者","2020年","上川総合振興局","","-159","-193","17","-66","-84","1","-93","-109","16"
"日本人移動者","2020年","留萌振興局","","-48","-5","-18","-30","4","-12","-18","-9","-6"
"日本人移動者","2020年","宗谷総合振興局","","-102","18","2","-46","8","0","-56","10","2"
"日本人移動者","2020年","オホーツク総合振興局","","-170","-165","-26","-59","-81","-27","-111","-84","1"
"日本人移動者","2020年","胆振総合振興局","","-91","-127","-62","-64","-38","-24","-27","-89","-38"
"日本人移動者","2020年","日高振興局","","-143","-87","-21","-76","-57","-5","-67","-30","-16"
"日本人移動者","2020年","十勝総合振興局","","-268","-302","26","-130","-81","32","-138","-221","-6"
"日本人移動者","2020年","釧路総合振興局","","-121","-73","-19","-48","-35","-13","-73","-38","-6"
"日本人移動者","2020年","根室振興局","","-121","-48","21","-43","8","10","-78","-56","11"
"日本人移動者","2020年","青森県市部","","-1,127","-1,780","-96","-461","-751","-112","-666","-1,029","16"
"日本人移動者","2020年","青森県郡部","","-616","-657","-78","-313","-289","-9","-303","-368","-69"
"日本人移動者","2020年","青森市","","-288","-463","-26","-162","-195","-1","-126","-268","-25"
"日本人移動者","2020年","弘前市","","108","-448","31","82","-254","3","26","-194","28"
"日本人移動者","2020年","八戸市","","-394","-287","9","-183","-108","3","-211","-179","6"
"日本人移動者","2020年","黒石市","","-73","-100","-39","-32","-33","-26","-41","-67","-13"
"日本人移動者","2020年","五所川原市","","-127","-103","-1","-67","-32","-12","-60","-71","11"
"日本人移動者","2020年","十和田市","","-128","-88","-25","-69","-34","-26","-59","-54","1"
"日本人移動者","2020年","三沢市","","0","-76","-5","35","-16","-24","-35","-60","19"
"日本人移動者","2020年","むつ市","","-72","-67","-10","11","-20","-15","-83","-47","5"
"日本人移動者","2020年","つがる市","","-98","-72","-23","-48","-32","-16","-50","-40","-7"
"日本人移動者","2020年","平川市","","-55","-76","-7","-28","-27","2","-27","-49","-9"
"日本人移動者","2020年","東津軽郡","","-62","-41","-14","-31","-11","-5","-31","-30","-9"
"日本人移動者","2020年","西津軽郡","","-59","-41","-12","-29","-18","-7","-30","-23","-5"
"日本人移動者","2020年","中津軽郡","","-3","-6","0","-1","-3","0","-2","-3","0"
"日本人移動者","2020年","南津軽郡","","-26","-77","-5","-22","-41","-1","-4","-36","-4"
"日本人移動者","2020年","北津軽郡","","-87","-106","-12","-47","-44","-4","-40","-62","-8"
"日本人移動者","2020年","上北郡","","-185","-148","24","-84","-62","36","-101","-86","-12"
"日本人移動者","2020年","下北郡","","-42","-17","-24","-21","-6","-15","-21","-11","-9"
"日本人移動者","2020年","三戸郡","","-152","-221","-35","-78","-104","-13","-74","-117","-22"
"日本人移動者","2020年","岩手県市部","","-1,136","-1,396","-124","-592","-580","-51","-544","-816","-73"
"日本人移動者","2020年","岩手県郡部","","-413","-539","-45","-191","-198","-25","-222","-341","-20"
"日本人移動者","2020年","盛岡市","","21","-262","-64","-18","-116","-36","39","-146","-28"
"日本人移動者","2020年","宮古市","","-109","-123","-23","-41","-74","-19","-68","-49","-4"
"日本人移動者","2020年","大船渡市","","-89","-67","4","-50","-22","17","-39","-45","-13"
"日本人移動者","2020年","花巻市","","-113","-141","-27","-54","-51","-7","-59","-90","-20"
"日本人移動者","2020年","北上市","","-87","31","60","-21","51","51","-66","-20","9"
"日本人移動者","2020年","久慈市","","-90","-45","-1","-44","-11","-3","-46","-34","2"
"日本人移動者","2020年","遠野市","","-61","-70","-8","-35","-38","5","-26","-32","-13"
"日本人移動者","2020年","一関市","","-252","-261","-32","-132","-102","-26","-120","-159","-6"
"日本人移動者","2020年","陸前高田市","","-43","-27","4","-18","-5","-7","-25","-22","11"
"日本人移動者","2020年","釜石市","","-57","-13","-33","-27","-10","-6","-30","-3","-27"
"日本人移動者","2020年","二戸市","","-53","-17","7","-30","13","1","-23","-30","6"
"日本人移動者","2020年","八幡平市","","-45","-49","-14","-27","-36","-2","-18","-13","-12"
"日本人移動者","2020年","奥州市","","-229","-213","-8","-138","-89","-6","-91","-124","-2"
"日本人移動者","2020年","滝沢市","","71","-139","11","43","-90","-13","28","-49","24"
"日本人移動者","2020年","岩手郡","","-61","-101","-32","-41","-33","-15","-20","-68","-17"
"日本人移動者","2020年","紫波郡","","-100","-78","6","-60","-23","-3","-40","-55","9"
"日本人移動者","2020年","和賀郡","","-10","-17","3","-1","-7","6","-9","-10","-3"
"日本人移動者","2020年","胆沢郡","","42","-49","17","44","-35","8","-2","-14","9"
"日本人移動者","2020年","西磐井郡","","-24","-17","-2","-13","-4","-2","-11","-13","0"
"日本人移動者","2020年","気仙郡","","-17","-9","6","-4","-7","1","-13","-2","5"
"日本人移動者","2020年","上閉伊郡","","-22","-23","-4","-12","-8","-8","-10","-15","4"
"日本人移動者","2020年","下閉伊郡","","-91","-78","-9","-44","-15","-3","-47","-63","-6"
"日本人移動者","2020年","九戸郡","","-101","-133","-32","-45","-52","-17","-56","-81","-15"
"日本人移動者","2020年","二戸郡","","-29","-34","2","-15","-14","8","-14","-20","-6"
"日本人移動者","2020年","宮城県市部","","595","-279","-121","275","-66","-119","320","-213","-2"
"日本人移動者","2020年","宮城県郡部","","-156","-787","-372","-62","-375","-124","-94","-412","-248"
"日本人移動者","2020年","仙台市","","1,419","1,355","148","656","582","30","763","773","118"
"日本人移動者","2020年","石巻市","","-144","-284","-129","-71","-105","-66","-73","-179","-63"
"日本人移動者","2020年","塩竈市","","-18","-118","-27","-12","-54","-10","-6","-64","-17"
"日本人移動者","2020年","気仙沼市","","-152","-159","-33","-80","-55","-26","-72","-104","-7"
"日本人移動者","2020年","白石市","","-48","-88","-56","-30","-33","-17","-18","-55","-39"
"日本人移動者","2020年","名取市","","6","-73","25","3","-32","18","3","-41","7"
"日本人移動者","2020年","角田市","","-21","-68","-53","-12","-15","-32","-9","-53","-21"
"日本人移動者","2020年","多賀城市","","82","-84","20","81","-50","-11","1","-34","31"
"日本人移動者","2020年","岩沼市","","-6","-14","24","9","-15","28","-15","1","-4"
"日本人移動者","2020年","登米市","","-126","-171","-58","-62","-77","-22","-64","-94","-36"
"日本人移動者","2020年","栗原市","","-101","-213","5","-45","-89","0","-56","-124","5"
"日本人移動者","2020年","東松島市","","-17","-43","41","-4","-15","10","-13","-28","31"
"日本人移動者","2020年","大崎市","","-207","-125","-19","-122","-23","-8","-85","-102","-11"
"日本人移動者","2020年","富谷市","","-72","-194","-9","-36","-85","-13","-36","-109","4"
"日本人移動者","2020年","刈田郡","","-15","-51","-12","-10","-22","-2","-5","-29","-10"
"日本人移動者","2020年","柴田郡","","110","-175","-94","61","-109","-46","49","-66","-48"
"日本人移動者","2020年","伊具郡","","-28","-42","-33","-6","-17","-12","-22","-25","-21"
"日本人移動者","2020年","亘理郡","","-20","-107","-38","-12","-52","-7","-8","-55","-31"
"日本人移動者","2020年","宮城郡","","-65","-208","-80","-47","-97","-29","-18","-111","-51"
"日本人移動者","2020年","黒川郡","","-9","-17","-4","21","-4","-2","-30","-13","-2"
"日本人移動者","2020年","加美郡","","-49","-60","-54","-25","-20","-10","-24","-40","-44"
"日本人移動者","2020年","遠田郡","","-49","-59","-30","-31","-25","-4","-18","-34","-26"
"日本人移動者","2020年","牡鹿郡","","-1","-16","-9","4","-8","-6","-5","-8","-3"
"日本人移動者","2020年","本吉郡","","-30","-52","-18","-17","-21","-6","-13","-31","-12"
"日本人移動者","2020年","秋田県市部","","-1,181","-1,632","-97","-554","-707","-70","-627","-925","-27"
"日本人移動者","2020年","秋田県郡部","","-153","-330","-91","-93","-144","-54","-60","-186","-37"
"日本人移動者","2020年","秋田市","","-106","-568","96","-19","-296","39","-87","-272","57"
"日本人移動者","2020年","能代市","","-135","-64","-27","-77","-18","-23","-58","-46","-4"
"日本人移動者","2020年","横手市","","-190","-188","18","-102","-92","4","-88","-96","14"
"日本人移動者","2020年","大館市","","-124","-73","-26","-55","-23","-2","-69","-50","-24"
"日本人移動者","2020年","男鹿市","","-38","-73","-18","-21","-33","-15","-17","-40","-3"
"日本人移動者","2020年","湯沢市","","-97","-130","-22","-51","-47","-8","-46","-83","-14"
"日本人移動者","2020年","鹿角市","","-69","-76","-24","-30","-33","-10","-39","-43","-14"
"日本人移動者","2020年","由利本荘市","","-89","-155","-40","-44","-58","-4","-45","-97","-36"
"日本人移動者","2020年","潟上市","","-22","-58","-7","-8","-9","-5","-14","-49","-2"
"日本人移動者","2020年","大仙市","","-139","-111","10","-73","-55","-17","-66","-56","27"
"日本人移動者","2020年","北秋田市","","-64","-49","-13","-30","-17","-2","-34","-32","-11"
"日本人移動者","2020年","にかほ市","","-52","-49","-28","-20","-4","-21","-32","-45","-7"
"日本人移動者","2020年","仙北市","","-56","-38","-16","-24","-22","-6","-32","-16","-10"
"日本人移動者","2020年","鹿角郡","","-11","-11","-3","-8","0","-4","-3","-11","1"
"日本人移動者","2020年","北秋田郡","","-3","-13","2","-3","-3","2","0","-10","0"
"日本人移動者","2020年","山本郡","","-65","-95","-32","-41","-48","-17","-24","-47","-15"
"日本人移動者","2020年","南秋田郡","","-1","-104","-24","4","-43","-20","-5","-61","-4"
"日本人移動者","2020年","仙北郡","","-31","-46","-34","-22","-18","-17","-9","-28","-17"
"日本人移動者","2020年","雄勝郡","","-42","-61","0","-23","-32","2","-19","-29","-2"
"日本人移動者","2020年","山形県市部","","-499","-1,457","-23","-175","-696","-60","-324","-761","37"
"日本人移動者","2020年","山形県郡部","","-494","-570","-153","-248","-224","-52","-246","-346","-101"
"日本人移動者","2020年","山形市","","183","-399","6","77","-193","10","106","-206","-4"
"日本人移動者","2020年","米沢市","","0","-123","-79","21","-63","-34","-21","-60","-45"
"日本人移動者","2020年","鶴岡市","","-199","-307","7","-107","-165","9","-92","-142","-2"
"日本人移動者","2020年","酒田市","","-179","-95","81","-78","-30","39","-101","-65","42"
"日本人移動者","2020年","新庄市","","-76","-135","7","-18","-64","-7","-58","-71","14"
"日本人移動者","2020年","寒河江市","","-55","-18","14","-30","2","-4","-25","-20","18"
"日本人移動者","2020年","上山市","","-40","-55","-25","-20","-40","-16","-20","-15","-9"
"日本人移動者","2020年","村山市","","-44","-73","-42","-17","-25","-19","-27","-48","-23"
"日本人移動者","2020年","長井市","","-28","-34","-7","3","-9","-14","-31","-25","7"
"日本人移動者","2020年","天童市","","-39","-53","60","-13","-31","19","-26","-22","41"
"日本人移動者","2020年","東根市","","43","-90","-3","42","-53","-23","1","-37","20"
"日本人移動者","2020年","尾花沢市","","-25","-17","-31","-14","-1","-12","-11","-16","-19"
"日本人移動者","2020年","南陽市","","-40","-58","-11","-21","-24","-8","-19","-34","-3"
"日本人移動者","2020年","東村山郡","","-37","-67","-9","-19","-33","-3","-18","-34","-6"
"日本人移動者","2020年","西村山郡","","-75","-139","-32","-35","-55","-11","-40","-84","-21"
"日本人移動者","2020年","北村山郡","","-15","-23","-10","-12","-10","-8","-3","-13","-2"
"日本人移動者","2020年","最上郡","","-95","-73","-41","-44","-34","-16","-51","-39","-25"
"日本人移動者","2020年","東置賜郡","","-83","-117","-20","-43","-38","1","-40","-79","-21"
"日本人移動者","2020年","西置賜郡","","-60","-101","-34","-36","-45","-10","-24","-56","-24"
"日本人移動者","2020年","東田川郡","","-80","-28","12","-37","-5","2","-43","-23","10"
"日本人移動者","2020年","飽海郡","","-49","-22","-19","-22","-4","-7","-27","-18","-12"
"日本人移動者","2020年","福島県市部","","-956","-2,478","-326","-401","-1,027","-200","-555","-1,451","-126"
"日本人移動者","2020年","福島県郡部","","-503","-1,020","-391","-272","-437","-216","-231","-583","-175"
"日本人移動者","2020年","福島市","","97","-467","-42","87","-245","-19","10","-222","-23"
"日本人移動者","2020年","会津若松市","","-163","-219","-43","-88","-87","13","-75","-132","-56"
"日本人移動者","2020年","郡山市","","-64","-299","-101","25","-136","-97","-89","-163","-4"
"日本人移動者","2020年","いわき市","","-257","-554","20","-123","-191","10","-134","-363","10"
"日本人移動者","2020年","白河市","","-53","-72","52","-17","17","27","-36","-89","25"
"日本人移動者","2020年","須賀川市","","-70","-124","-55","-41","-79","-36","-29","-45","-19"
"日本人移動者","2020年","喜多方市","","-105","-116","-2","-60","-62","0","-45","-54","-2"
"日本人移動者","2020年","相馬市","","-40","-78","0","-25","-17","-7","-15","-61","7"
"日本人移動者","2020年","二本松市","","-52","-124","-39","-28","-57","-17","-24","-67","-22"
"日本人移動者","2020年","田村市","","-54","-117","-84","-26","-56","-47","-28","-61","-37"
"日本人移動者","2020年","南相馬市","","-88","-38","15","-54","-4","10","-34","-34","5"
"日本人移動者","2020年","伊達市","","-71","-220","-53","-31","-89","-34","-40","-131","-19"
"日本人移動者","2020年","本宮市","","-36","-50","6","-20","-21","-3","-16","-29","9"
"日本人移動者","2020年","伊達郡","","-43","-92","-53","-35","-47","-21","-8","-45","-32"
"日本人移動者","2020年","安達郡","","-5","-20","4","-5","-1","0","0","-19","4"
"日本人移動者","2020年","岩瀬郡","","-10","-29","12","-4","-6","3","-6","-23","9"
"日本人移動者","2020年","南会津郡","","-66","-62","-27","-40","-2","-18","-26","-60","-9"
"日本人移動者","2020年","耶麻郡","","-35","-86","-23","-15","-57","-8","-20","-29","-15"
"日本人移動者","2020年","河沼郡","","-38","-85","-6","-28","-41","1","-10","-44","-7"
"日本人移動者","2020年","大沼郡","","-44","-61","-15","-15","-25","-11","-29","-36","-4"
"日本人移動者","2020年","西白河郡","","-38","-78","-14","-24","-33","-22","-14","-45","8"
"日本人移動者","2020年","東白川郡","","-37","-112","-21","-17","-53","-23","-20","-59","2"
"日本人移動者","2020年","石川郡","","-52","-135","-71","-17","-61","-37","-35","-74","-34"
"日本人移動者","2020年","田村郡","","-30","-89","-33","-14","-48","-4","-16","-41","-29"
"日本人移動者","2020年","双葉郡","","-87","-121","-122","-53","-45","-68","-34","-76","-54"
"日本人移動者","2020年","相馬郡","","-18","-50","-22","-5","-18","-8","-13","-32","-14"
"日本人移動者","2020年","茨城県市部","","-387","-3,221","-561","-83","-1,055","-362","-304","-2,166","-199"
"日本人移動者","2020年","茨城県郡部","","-76","-531","-209","-21","-196","-100","-55","-335","-109"
"日本人移動者","2020年","水戸市","","51","36","113","18","85","58","33","-49","55"
"日本人移動者","2020年","日立市","","-58","-334","-268","-41","-97","-200","-17","-237","-68"
"日本人移動者","2020年","土浦市","","15","-26","14","7","37","24","8","-63","-10"
"日本人移動者","2020年","古河市","","58","-168","-94","21","-96","-58","37","-72","-36"
"日本人移動者","2020年","石岡市","","-15","-165","-77","-4","-55","-31","-11","-110","-46"
"日本人移動者","2020年","結城市","","-22","-124","-39","-14","-70","-32","-8","-54","-7"
"日本人移動者","2020年","龍ケ崎市","","32","-265","-117","37","-157","-44","-5","-108","-73"
"日本人移動者","2020年","下妻市","","-26","-74","-39","-16","-29","-43","-10","-45","4"
"日本人移動者","2020年","常総市","","-36","-81","-57","-18","-23","-27","-18","-58","-30"
"日本人移動者","2020年","常陸太田市","","-75","-196","-86","-47","-96","-52","-28","-100","-34"
"日本人移動者","2020年","高萩市","","-36","-63","-43","-23","-29","-20","-13","-34","-23"
"日本人移動者","2020年","北茨城市","","-46","-148","-36","-20","-54","-18","-26","-94","-18"
"日本人移動者","2020年","笠間市","","-52","-109","-24","-26","-46","-1","-26","-63","-23"
"日本人移動者","2020年","取手市","","10","-68","35","8","-1","18","2","-67","17"
"日本人移動者","2020年","牛久市","","6","-46","-71","-5","-35","-3","11","-11","-68"
"日本人移動者","2020年","つくば市","","319","338","569","228","222","232","91","116","337"
"日本人移動者","2020年","ひたちなか市","","-123","-233","41","-63","-42","16","-60","-191","25"
"日本人移動者","2020年","鹿嶋市","","51","-88","-39","62","-24","-51","-11","-64","12"
"日本人移動者","2020年","潮来市","","-33","-52","-34","-15","-26","-11","-18","-26","-23"
"日本人移動者","2020年","守谷市","","-14","-59","83","-7","-44","34","-7","-15","49"
"日本人移動者","2020年","常陸大宮市","","-40","-86","-76","-20","-27","-25","-20","-59","-51"
"日本人移動者","2020年","那珂市","","-52","-119","12","-34","-59","30","-18","-60","-18"
"日本人移動者","2020年","筑西市","","-33","-242","-108","-18","-111","-57","-15","-131","-51"
"日本人移動者","2020年","坂東市","","-25","-141","-53","-11","-75","-24","-14","-66","-29"
"日本人移動者","2020年","稲敷市","","-50","-136","-33","-33","-52","-12","-17","-84","-21"
"日本人移動者","2020年","かすみがうら市","","7","-89","-99","16","-8","-46","-9","-81","-53"
"日本人移動者","2020年","桜川市","","-46","-168","-74","-18","-69","-28","-28","-99","-46"
"日本人移動者","2020年","神栖市","","-39","32","148","4","67","89","-43","-35","59"
"日本人移動者","2020年","行方市","","-45","-126","-54","-18","-50","-22","-27","-76","-32"
"日本人移動者","2020年","鉾田市","","-44","-79","-37","-22","-38","-9","-22","-41","-28"
"日本人移動者","2020年","つくばみらい市","","-15","-13","-1","-11","8","-12","-4","-21","11"
"日本人移動者","2020年","小美玉市","","-11","-129","-17","0","-61","-37","-11","-68","20"
"日本人移動者","2020年","東茨城郡","","-43","-229","-133","-17","-98","-85","-26","-131","-48"
"日本人移動者","2020年","那珂郡","","-19","-3","61","-1","19","32","-18","-22","29"
"日本人移動者","2020年","久慈郡","","-21","-57","-27","-13","-25","-13","-8","-32","-14"
"日本人移動者","2020年","稲敷郡","","23","-79","3","9","-4","13","14","-75","-10"
"日本人移動者","2020年","結城郡","","-21","-80","-47","-15","-47","-22","-6","-33","-25"
"日本人移動者","2020年","猿島郡","","-13","-38","-52","-7","-20","-22","-6","-18","-30"
"日本人移動者","2020年","北相馬郡","","18","-45","-14","23","-21","-3","-5","-24","-11"
"日本人移動者","2020年","栃木県市部","","-485","-1,417","-57","-265","-321","-64","-220","-1,096","7"
"日本人移動者","2020年","栃木県郡部","","-118","-353","-251","-53","-126","-141","-65","-227","-110"
"日本人移動者","2020年","宇都宮市","","-158","317","254","-64","361","4","-94","-44","250"
"日本人移動者","2020年","足利市","","-55","-296","-145","-35","-124","-82","-20","-172","-63"
"日本人移動者","2020年","栃木市","","-77","-298","-99","-42","-161","-21","-35","-137","-78"
"日本人移動者","2020年","佐野市","","-49","-173","1","-30","-27","-1","-19","-146","2"
"日本人移動者","2020年","鹿沼市","","-53","-197","-71","-37","-76","-31","-16","-121","-40"
"日本人移動者","2020年","日光市","","-26","-169","-170","-24","-71","-68","-2","-98","-102"
"日本人移動者","2020年","小山市","","18","-126","128","25","-37","50","-7","-89","78"
"日本人移動者","2020年","真岡市","","-49","-130","17","-19","-57","29","-30","-73","-12"
"日本人移動者","2020年","大田原市","","10","-44","19","-7","-42","11","17","-2","8"
"日本人移動者","2020年","矢板市","","-28","-84","-31","-9","-42","-7","-19","-42","-24"
"日本人移動者","2020年","那須塩原市","","-77","-30","-3","-48","2","18","-29","-32","-21"
"日本人移動者","2020年","さくら市","","-9","-23","100","5","8","65","-14","-31","35"
"日本人移動者","2020年","那須烏山市","","-29","-68","-38","-19","-21","-18","-10","-47","-20"
"日本人移動者","2020年","下野市","","97","-96","-19","39","-34","-13","58","-62","-6"
"日本人移動者","2020年","河内郡","","6","-82","13","15","-56","21","-9","-26","-8"
"日本人移動者","2020年","芳賀郡","","-52","-189","-61","-43","-82","-25","-9","-107","-36"
"日本人移動者","2020年","下都賀郡","","-13","-11","-61","-10","2","-28","-3","-13","-33"
"日本人移動者","2020年","塩谷郡","","-21","39","-68","5","53","-66","-26","-14","-2"
"日本人移動者","2020年","那須郡","","-38","-110","-74","-20","-43","-43","-18","-67","-31"
"日本人移動者","2020年","群馬県市部","","-98","-2,396","-528","21","-1,044","-383","-119","-1,352","-145"
"日本人移動者","2020年","群馬県郡部","","-76","-701","-192","-19","-278","-78","-57","-423","-114"
"日本人移動者","2020年","前橋市","","5","-310","-41","-7","-182","-98","12","-128","57"
"日本人移動者","2020年","高崎市","","134","-566","95","46","-260","-39","88","-306","134"
"日本人移動者","2020年","桐生市","","0","-349","-228","14","-159","-121","-14","-190","-107"
"日本人移動者","2020年","伊勢崎市","","48","-195","78","71","-144","68","-23","-51","10"
"日本人移動者","2020年","太田市","","-12","-95","8","31","82","35","-43","-177","-27"
"日本人移動者","2020年","沼田市","","-67","-130","-50","-37","-71","-9","-30","-59","-41"
"日本人移動者","2020年","館林市","","-32","-88","16","-6","-22","10","-26","-66","6"
"日本人移動者","2020年","渋川市","","-51","-160","-163","-26","-75","-86","-25","-85","-77"
"日本人移動者","2020年","藤岡市","","-35","-152","-99","-24","-72","-63","-11","-80","-36"
"日本人移動者","2020年","富岡市","","-36","-121","-88","-14","-50","-31","-22","-71","-57"
"日本人移動者","2020年","安中市","","-19","-154","-78","-6","-56","-53","-13","-98","-25"
"日本人移動者","2020年","みどり市","","-33","-76","22","-21","-35","4","-12","-41","18"
"日本人移動者","2020年","北群馬郡","","15","-40","2","21","-21","6","-6","-19","-4"
"日本人移動者","2020年","多野郡","","-5","-7","2","-3","-1","-1","-2","-6","3"
"日本人移動者","2020年","甘楽郡","","-15","-67","-23","-11","-34","-17","-4","-33","-6"
"日本人移動者","2020年","吾妻郡","","-73","-150","-54","-49","-48","-17","-24","-102","-37"
"日本人移動者","2020年","利根郡","","-16","-143","-17","9","-40","-11","-25","-103","-6"
"日本人移動者","2020年","佐波郡","","-5","-70","19","-17","-12","8","12","-58","11"
"日本人移動者","2020年","邑楽郡","","23","-224","-121","31","-122","-46","-8","-102","-75"
"日本人移動者","2020年","埼玉県市部","","2,067","4,843","2,099","845","2,022","1,181","1,222","2,821","918"
"日本人移動者","2020年","埼玉県郡部","","-50","-1,137","-675","-20","-597","-303","-30","-540","-372"
"日本人移動者","2020年","さいたま市","","624","2,322","1,611","325","899","637","299","1,423","974"
"日本人移動者","2020年","川越市","","213","105","75","71","61","45","142","44","30"
"日本人移動者","2020年","熊谷市","","-1","-170","-129","45","-35","-24","-46","-135","-105"
"日本人移動者","2020年","川口市","","197","1,455","438","98","758","279","99","697","159"
"日本人移動者","2020年","行田市","","-4","-66","-93","-14","-50","-38","10","-16","-55"
"日本人移動者","2020年","秩父市","","-58","-194","-43","-31","-81","-17","-27","-113","-26"
"日本人移動者","2020年","所沢市","","247","202","-84","78","104","29","169","98","-113"
"日本人移動者","2020年","飯能市","","24","-178","-122","17","-108","-68","7","-70","-54"
"日本人移動者","2020年","加須市","","1","-139","-8","14","-73","13","-13","-66","-21"
"日本人移動者","2020年","本庄市","","-43","-125","-71","-41","-30","-62","-2","-95","-9"
"日本人移動者","2020年","東松山市","","72","-151","-23","49","-77","-21","23","-74","-2"
"日本人移動者","2020年","春日部市","","-50","-125","-180","-55","-40","-66","5","-85","-114"
"日本人移動者","2020年","狭山市","","102","-48","-261","46","30","-141","56","-78","-120"
"日本人移動者","2020年","羽生市","","-12","-25","-99","-9","-10","-49","-3","-15","-50"
"日本人移動者","2020年","鴻巣市","","9","-132","-66","16","-60","-42","-7","-72","-24"
"日本人移動者","2020年","深谷市","","-9","-281","24","-3","-145","19","-6","-136","5"
"日本人移動者","2020年","上尾市","","14","34","134","4","-1","86","10","35","48"
"日本人移動者","2020年","草加市","","98","448","43","39","187","2","59","261","41"
"日本人移動者","2020年","越谷市","","90","289","204","12","166","151","78","123","53"
"日本人移動者","2020年","蕨市","","20","435","126","13","216","61","7","219","65"
