"","","","/表章項目","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】"
"","","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","時間軸（年次）","地域","/年齢","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳"
"日本人移動者","2020年","全国市部","","10,335","22,260","6,343","5,425","9,800","3,355","4,910","12,460","2,988"
"日本人移動者","2020年","全国郡部","","-10,335","-22,260","-6,343","-5,425","-9,800","-3,355","-4,910","-12,460","-2,988"
"日本人移動者","2020年","北海道市部","","1,672","-1,892","-383","1,037","-1,046","-70","635","-846","-313"
"日本人移動者","2020年","北海道郡部","","-1,818","-1,525","-228","-860","-521","-141","-958","-1,004","-87"
"日本人移動者","2020年","札幌市","","1,672","2,046","660","755","917","342","917","1,129","318"
"日本人移動者","2020年","函館市","","-242","-278","-180","-137","-137","-56","-105","-141","-124"
"日本人移動者","2020年","小樽市","","-48","-286","-134","-34","-148","-63","-14","-138","-71"
"日本人移動者","2020年","旭川市","","-166","-151","-101","-89","-113","-20","-77","-38","-81"
"日本人移動者","2020年","室蘭市","","67","-125","-34","107","-54","-18","-40","-71","-16"
"日本人移動者","2020年","釧路市","","47","-346","-99","86","-169","-27","-39","-177","-72"
"日本人移動者","2020年","帯広市","","-8","98","-18","-20","79","-17","12","19","-1"
"日本人移動者","2020年","北見市","","-95","-91","-47","-30","-28","-24","-65","-63","-23"
"日本人移動者","2020年","夕張市","","-12","-16","-20","-3","0","-11","-9","-16","-9"
"日本人移動者","2020年","岩見沢市","","-17","-231","-42","-18","-92","-33","1","-139","-9"
"日本人移動者","2020年","網走市","","44","-107","-37","35","-46","-34","9","-61","-3"
"日本人移動者","2020年","留萌市","","-17","-3","-2","6","-3","-7","-23","0","5"
"日本人移動者","2020年","苫小牧市","","-132","-118","-39","-72","-60","-15","-60","-58","-24"
