"","","/都市間移動者数・その他","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数"
"日本人移動者","上北郡","","-133","-207","-71","-49","-66","-39","-84","-141","-32"
"日本人移動者","下北郡","","-49","-36","-9","-22","-16","3","-27","-20","-12"
"日本人移動者","三戸郡","","-161","-226","-55","-98","-83","-16","-63","-143","-39"
"日本人移動者","岩手県市部","","-1,411","-1,565","-224","-759","-633","-114","-652","-932","-110"
"日本人移動者","岩手県郡部","","-413","-572","-111","-223","-269","-46","-190","-303","-65"
"日本人移動者","盛岡市","","-49","-342","-77","-56","-181","-78","7","-161","1"
"日本人移動者","宮古市","","-94","-113","-30","-35","-61","-18","-59","-52","-12"
"日本人移動者","大船渡市","","-113","-75","13","-70","-28","2","-43","-47","11"
"日本人移動者","花巻市","","-143","-130","-51","-70","-49","-16","-73","-81","-35"
"日本人移動者","北上市","","-131","-95","47","-69","-29","33","-62","-66","14"
"日本人移動者","久慈市","","-87","-53","-4","-52","-17","-2","-35","-36","-2"
"日本人移動者","遠野市","","-55","-53","-22","-31","-13","-14","-24","-40","-8"
"日本人移動者","一関市","","-274","-212","-5","-153","-66","7","-121","-146","-12"
"日本人移動者","陸前高田市","","-57","-62","6","-21","-29","2","-36","-33","4"
"日本人移動者","釜石市","","-73","-31","1","-41","-6","10","-32","-25","-9"
"日本人移動者","二戸市","","-74","-47","23","-53","-16","11","-21","-31","12"
"日本人移動者","八幡平市","","-47","-42","-25","-25","-2","-10","-22","-40","-15"
"日本人移動者","奥州市","","-247","-169","-55","-130","-64","-25","-117","-105","-30"
"日本人移動者","滝沢市","","33","-141","-45","47","-72","-16","-14","-69","-29"
"日本人移動者","岩手郡","","-65","-65","-32","-40","-20","-15","-25","-45","-17"
"日本人移動者","紫波郡","","-95","-119","22","-75","-65","18","-20","-54","4"
"日本人移動者","和賀郡","","-13","-22","-5","-5","-15","-2","-8","-7","-3"
"日本人移動者","胆沢郡","","33","-96","-7","35","-57","-6","-2","-39","-1"
"日本人移動者","西磐井郡","","-24","-23","-15","-9","-9","-9","-15","-14","-6"
"日本人移動者","気仙郡","","-12","-21","-2","-8","-12","1","-4","-9","-3"
"日本人移動者","上閉伊郡","","-31","-32","-7","-16","-7","-7","-15","-25","0"
"日本人移動者","下閉伊郡","","-91","-48","-29","-44","-28","-18","-47","-20","-11"
"日本人移動者","九戸郡","","-92","-116","-37","-52","-47","-5","-40","-69","-32"
"日本人移動者","二戸郡","","-23","-30","1","-9","-9","-3","-14","-21","4"
"日本人移動者","宮城県市部","","439","-221","-89","224","-185","60","215","-36","-149"
"日本人移動者","宮城県郡部","","-231","-701","-235","-97","-280","-129","-134","-421","-106"
"日本人移動者","仙台市","","1,258","993","82","638","314","110","620","679","-28"
"日本人移動者","石巻市","","-145","-78","-177","-79","-13","-83","-66","-65","-94"
"日本人移動者","塩竈市","","-27","-150","-8","-20","-72","-6","-7","-78","-2"
"日本人移動者","気仙沼市","","-142","-135","-20","-71","-49","0","-71","-86","-20"
"日本人移動者","白石市","","-51","-61","-17","-29","-49","2","-22","-12","-19"
"日本人移動者","名取市","","-4","-115","115","-15","-57","62","11","-58","53"
"日本人移動者","角田市","","5","-53","-66","1","-9","-39","4","-44","-27"
"日本人移動者","多賀城市","","37","0","37","51","-29","36","-14","29","1"
"日本人移動者","岩沼市","","-38","0","12","-26","-21","6","-12","21","6"
"日本人移動者","登米市","","-133","-160","-31","-69","-52","-15","-64","-108","-16"
"日本人移動者","栗原市","","-107","-119","-47","-61","-56","-10","-46","-63","-37"
"日本人移動者","東松島市","","-11","-42","43","-1","-13","12","-10","-29","31"
"日本人移動者","大崎市","","-117","-151","-5","-61","-20","-15","-56","-131","10"
"日本人移動者","富谷市","","-86","-150","-7","-34","-59","0","-52","-91","-7"
"日本人移動者","刈田郡","","-22","-38","-22","-12","-14","-11","-10","-24","-11"
"日本人移動者","柴田郡","","72","-133","-53","64","-77","-24","8","-56","-29"
"日本人移動者","伊具郡","","-48","-35","-15","-20","-14","-10","-28","-21","-5"
"日本人移動者","亘理郡","","-47","-71","3","-25","-30","12","-22","-41","-9"
"日本人移動者","宮城郡","","-53","-184","-14","-40","-86","-15","-13","-98","1"
"日本人移動者","黒川郡","","-5","-33","-45","-1","7","-40","-4","-40","-5"
"日本人移動者","加美郡","","-57","-69","-37","-33","-26","-14","-24","-43","-23"
"日本人移動者","遠田郡","","-45","-91","-25","-25","-36","-8","-20","-55","-17"
"日本人移動者","牡鹿郡","","4","-10","-6","7","2","-15","-3","-12","9"
"日本人移動者","本吉郡","","-30","-37","-21","-12","-6","-4","-18","-31","-17"
"日本人移動者","秋田県市部","","-1,440","-1,869","-76","-703","-798","-17","-737","-1,071","-59"
"日本人移動者","秋田県郡部","","-170","-304","-89","-83","-108","-37","-87","-196","-52"
"日本人移動者","秋田市","","-117","-535","-50","-54","-300","-14","-63","-235","-36"
"日本人移動者","能代市","","-167","-101","-12","-95","-21","-7","-72","-80","-5"
"日本人移動者","横手市","","-200","-215","-6","-100","-93","-10","-100","-122","4"
"日本人移動者","大館市","","-167","-138","26","-78","-67","23","-89","-71","3"
"日本人移動者","男鹿市","","-49","-67","-58","-17","-22","-20","-32","-45","-38"
"日本人移動者","湯沢市","","-95","-153","17","-42","-54","16","-53","-99","1"
"日本人移動者","鹿角市","","-95","-76","-4","-46","-39","-10","-49","-37","6"
"日本人移動者","由利本荘市","","-155","-195","-18","-65","-105","-8","-90","-90","-10"
"日本人移動者","潟上市","","-58","-75","3","-30","-28","7","-28","-47","-4"
"日本人移動者","大仙市","","-126","-156","17","-70","-47","5","-56","-109","12"
"日本人移動者","北秋田市","","-73","-60","11","-29","-15","8","-44","-45","3"
"日本人移動者","にかほ市","","-78","-53","-1","-38","6","-3","-40","-59","2"
"日本人移動者","仙北市","","-60","-45","-1","-39","-13","-4","-21","-32","3"
"日本人移動者","鹿角郡","","-7","-12","-10","-7","-1","-3","0","-11","-7"
"日本人移動者","北秋田郡","","-1","-9","-3","-1","-4","-3","0","-5","0"
"日本人移動者","山本郡","","-62","-90","-13","-25","-27","-3","-37","-63","-10"
"日本人移動者","南秋田郡","","-2","-100","-41","-3","-39","-15","1","-61","-26"
"日本人移動者","仙北郡","","-35","-43","-18","-19","-26","-9","-16","-17","-9"
"日本人移動者","雄勝郡","","-63","-50","-4","-28","-11","-4","-35","-39","0"
"日本人移動者","山形県市部","","-623","-1,451","-34","-257","-596","-25","-366","-855","-9"
"日本人移動者","山形県郡部","","-498","-626","-251","-276","-214","-117","-222","-412","-134"
"日本人移動者","山形市","","205","-374","38","109","-166","52","96","-208","-14"
"日本人移動者","米沢市","","-57","-182","-109","-39","-48","-52","-18","-134","-57"
"日本人移動者","鶴岡市","","-216","-208","14","-91","-112","23","-125","-96","-9"
"日本人移動者","酒田市","","-324","-58","57","-174","-23","36","-150","-35","21"
"日本人移動者","新庄市","","-28","-87","-9","3","-33","-2","-31","-54","-7"
"日本人移動者","寒河江市","","-49","-76","20","-28","-47","1","-21","-29","19"
"日本人移動者","上山市","","-45","-91","-39","-16","-32","-16","-29","-59","-23"
"日本人移動者","村山市","","-39","-71","-1","-13","-44","-4","-26","-27","3"
"日本人移動者","長井市","","-25","-36","-26","-9","-22","-10","-16","-14","-16"
"日本人移動者","天童市","","-26","-92","35","-15","-2","-3","-11","-90","38"
"日本人移動者","東根市","","45","-67","22","47","-47","-29","-2","-20","51"
"日本人移動者","尾花沢市","","-28","-55","-16","-15","-17","-10","-13","-38","-6"
"日本人移動者","南陽市","","-36","-54","-20","-16","-3","-11","-20","-51","-9"
"日本人移動者","東村山郡","","-27","-87","-21","-13","-29","-8","-14","-58","-13"
"日本人移動者","西村山郡","","-76","-134","-64","-42","-52","-36","-34","-82","-28"
"日本人移動者","北村山郡","","-19","-24","-18","-13","-11","-7","-6","-13","-11"
"日本人移動者","最上郡","","-112","-136","-56","-61","-56","-12","-51","-80","-44"
"日本人移動者","東置賜郡","","-63","-87","-32","-41","-30","-13","-22","-57","-19"
"日本人移動者","西置賜郡","","-67","-102","-34","-35","-29","-19","-32","-73","-15"
"日本人移動者","東田川郡","","-94","-31","-15","-52","-5","-10","-42","-26","-5"
"日本人移動者","飽海郡","","-40","-25","-11","-19","-2","-12","-21","-23","1"
"日本人移動者","福島県市部","","-1,237","-2,357","-521","-613","-915","-349","-624","-1,442","-172"
"日本人移動者","福島県郡部","","-591","-1,176","-249","-323","-507","-145","-268","-669","-104"
"日本人移動者","福島市","","-14","-374","-160","0","-206","-138","-14","-168","-22"
"日本人移動者","会津若松市","","-159","-160","16","-89","-38","-14","-70","-122","30"
"日本人移動者","郡山市","","-85","-312","-119","2","-143","-19","-87","-169","-100"
"日本人移動者","いわき市","","-335","-514","40","-186","-163","17","-149","-351","23"
"日本人移動者","白河市","","-86","-128","-30","-50","-40","-16","-36","-88","-14"
"日本人移動者","須賀川市","","-94","-134","-16","-39","-71","-23","-55","-63","7"
"日本人移動者","喜多方市","","-98","-102","-16","-60","-46","7","-38","-56","-23"
"日本人移動者","相馬市","","-18","-37","11","-1","-15","0","-17","-22","11"
"日本人移動者","二本松市","","-81","-128","-37","-36","-57","-36","-45","-71","-1"
"日本人移動者","田村市","","-49","-117","-32","-25","-32","-13","-24","-85","-19"
"日本人移動者","南相馬市","","-102","-148","-70","-63","-39","-43","-39","-109","-27"
"日本人移動者","伊達市","","-77","-160","-88","-39","-61","-60","-38","-99","-28"
"日本人移動者","本宮市","","-39","-43","-20","-27","-4","-11","-12","-39","-9"
"日本人移動者","伊達郡","","-34","-129","-36","-32","-53","-11","-2","-76","-25"
"日本人移動者","安達郡","","2","-11","12","-1","-12","5","3","1","7"
"日本人移動者","岩瀬郡","","-33","-60","9","-14","-29","1","-19","-31","8"
"日本人移動者","南会津郡","","-58","-110","-1","-20","-47","-7","-38","-63","6"
"日本人移動者","耶麻郡","","-59","-73","-21","-33","-38","-18","-26","-35","-3"
"日本人移動者","河沼郡","","-40","-76","-13","-22","-44","-6","-18","-32","-7"
"日本人移動者","大沼郡","","-67","-76","-12","-37","-33","-6","-30","-43","-6"
"日本人移動者","西白河郡","","-49","-86","22","-31","-36","-5","-18","-50","27"
"日本人移動者","東白川郡","","-68","-99","-30","-36","-61","-14","-32","-38","-16"
"日本人移動者","石川郡","","-56","-137","-46","-31","-49","-26","-25","-88","-20"
"日本人移動者","田村郡","","-19","-105","-22","-10","-46","-16","-9","-59","-6"
"日本人移動者","双葉郡","","-85","-176","-89","-46","-54","-28","-39","-122","-61"
"日本人移動者","相馬郡","","-25","-38","-22","-10","-5","-14","-15","-33","-8"
"日本人移動者","茨城県市部","","-440","-3,032","-796","-100","-1,028","-431","-340","-2,004","-365"
"日本人移動者","茨城県郡部","","-136","-421","-253","-51","-157","-83","-85","-264","-170"
"日本人移動者","水戸市","","-39","1","216","-60","62","111","21","-61","105"
"日本人移動者","日立市","","-70","-293","-237","-17","-52","-149","-53","-241","-88"
"日本人移動者","土浦市","","14","-38","-99","-1","-19","-67","15","-19","-32"
"日本人移動者","古河市","","139","-83","-70","122","2","-9","17","-85","-61"
"日本人移動者","石岡市","","-16","-165","-73","11","-81","-29","-27","-84","-44"
"日本人移動者","結城市","","5","-41","-38","5","-2","-28","0","-39","-10"
"日本人移動者","龍ケ崎市","","8","-206","-154","14","-162","-71","-6","-44","-83"
"日本人移動者","下妻市","","-51","-68","-41","-29","-32","-19","-22","-36","-22"
"日本人移動者","常総市","","-34","-78","-65","-22","-19","-26","-12","-59","-39"
"日本人移動者","常陸太田市","","-78","-195","-52","-44","-108","-12","-34","-87","-40"
"日本人移動者","高萩市","","-63","-74","-26","-49","-30","-19","-14","-44","-7"
"日本人移動者","北茨城市","","-55","-122","-66","-38","-56","-28","-17","-66","-38"
"日本人移動者","笠間市","","-40","-168","-37","-34","-69","-8","-6","-99","-29"
"日本人移動者","取手市","","-8","-136","-49","-1","-66","-12","-7","-70","-37"
"日本人移動者","牛久市","","8","-22","-70","14","-18","-44","-6","-4","-26"
"日本人移動者","つくば市","","409","-122","160","267","-84","5","142","-38","155"
"日本人移動者","ひたちなか市","","-77","-103","183","-30","22","133","-47","-125","50"
"日本人移動者","鹿嶋市","","23","-62","41","41","22","22","-18","-84","19"
"日本人移動者","潮来市","","-19","-76","-23","-8","-29","2","-11","-47","-25"
"日本人移動者","守谷市","","6","-62","45","3","-57","17","3","-5","28"
"日本人移動者","常陸大宮市","","-35","-119","-53","-27","-34","-34","-8","-85","-19"
"日本人移動者","那珂市","","-47","-86","25","-28","-42","7","-19","-44","18"
"日本人移動者","筑西市","","-80","-139","-105","-28","-41","-45","-52","-98","-60"
"日本人移動者","坂東市","","-38","-120","-91","-22","-54","-44","-16","-66","-47"
"日本人移動者","稲敷市","","-53","-143","-84","-25","-53","-41","-28","-90","-43"
"日本人移動者","かすみがうら市","","-15","-54","-53","-5","-2","-39","-10","-52","-14"
"日本人移動者","桜川市","","-65","-128","-74","-45","-55","-29","-20","-73","-45"
"日本人移動者","神栖市","","-48","100","163","-8","123","96","-40","-23","67"
"日本人移動者","行方市","","-54","-84","-65","-31","-35","-48","-23","-49","-17"
"日本人移動者","鉾田市","","-39","-75","-25","-22","-29","-9","-17","-46","-16"
"日本人移動者","つくばみらい市","","-29","47","107","-17","35","40","-12","12","67"
"日本人移動者","小美玉市","","1","-118","-86","14","-65","-54","-13","-53","-32"
"日本人移動者","東茨城郡","","-30","-158","-129","-13","-64","-41","-17","-94","-88"
"日本人移動者","那珂郡","","-29","-18","20","-14","3","-11","-15","-21","31"
"日本人移動者","久慈郡","","-33","-45","-28","-16","-8","-13","-17","-37","-15"
"日本人移動者","稲敷郡","","-20","-105","-42","-5","-56","-11","-15","-49","-31"
"日本人移動者","結城郡","","-14","-23","-23","-4","-7","-3","-10","-16","-20"
"日本人移動者","猿島郡","","-15","-39","-25","-4","-3","8","-11","-36","-33"
"日本人移動者","北相馬郡","","5","-33","-26","5","-22","-12","0","-11","-14"
"日本人移動者","栃木県市部","","-465","-1,096","209","-237","-140","164","-228","-956","45"
"日本人移動者","栃木県郡部","","-190","-238","-187","-98","8","-25","-92","-246","-162"
"日本人移動者","宇都宮市","","-122","376","466","-17","420","273","-105","-44","193"
"日本人移動者","足利市","","-83","-223","-108","-54","-121","-50","-29","-102","-58"
"日本人移動者","栃木市","","-59","-312","-96","-46","-152","-36","-13","-160","-60"
"日本人移動者","佐野市","","-40","-154","-9","-30","-62","26","-10","-92","-35"
"日本人移動者","鹿沼市","","-51","-156","-50","-33","-64","-28","-18","-92","-22"
"日本人移動者","日光市","","-30","-105","-84","-25","-44","-40","-5","-61","-44"
"日本人移動者","小山市","","62","-17","137","58","33","48","4","-50","89"
"日本人移動者","真岡市","","-61","-23","39","-48","24","56","-13","-47","-17"
"日本人移動者","大田原市","","-21","-88","-88","-10","-26","-61","-11","-62","-27"
"日本人移動者","矢板市","","-21","-64","-46","-13","-26","-31","-8","-38","-15"
"日本人移動者","那須塩原市","","-96","-123","33","-44","-47","32","-52","-76","1"
"日本人移動者","さくら市","","-6","-66","47","0","-33","21","-6","-33","26"
"日本人移動者","那須烏山市","","-28","-86","-53","-13","-30","-34","-15","-56","-19"
"日本人移動者","下野市","","91","-55","21","38","-12","-12","53","-43","33"
"日本人移動者","河内郡","","-8","-54","-9","7","-33","19","-15","-21","-28"
"日本人移動者","芳賀郡","","-63","-147","-98","-34","-34","-41","-29","-113","-57"
"日本人移動者","下都賀郡","","-34","6","-46","-25","32","-11","-9","-26","-35"
"日本人移動者","塩谷郡","","-12","49","13","-6","86","20","-6","-37","-7"
"日本人移動者","那須郡","","-73","-92","-47","-40","-43","-12","-33","-49","-35"
"日本人移動者","群馬県市部","","-128","-2,235","-634","52","-940","-282","-180","-1,295","-352"
"日本人移動者","群馬県郡部","","-99","-681","-312","-33","-314","-192","-66","-367","-120"
"日本人移動者","前橋市","","-41","-363","-28","-49","-190","50","8","-173","-78"
"日本人移動者","高崎市","","192","-609","-1","165","-313","0","27","-296","-1"
"日本人移動者","桐生市","","-49","-276","-221","-16","-112","-153","-33","-164","-68"
"日本人移動者","伊勢崎市","","7","-116","117","34","-17","73","-27","-99","44"
"日本人移動者","太田市","","45","-85","-11","63","-24","-33","-18","-61","22"
"日本人移動者","沼田市","","-57","-113","-62","-25","-47","-43","-32","-66","-19"
"日本人移動者","館林市","","-47","-136","-78","-24","-61","-18","-23","-75","-60"
"日本人移動者","渋川市","","-40","-164","-144","-28","-59","-73","-12","-105","-71"
"日本人移動者","藤岡市","","-24","-111","-64","-16","-46","-17","-8","-65","-47"
"日本人移動者","富岡市","","-29","-70","-66","-17","-13","-29","-12","-57","-37"
"日本人移動者","安中市","","-50","-131","-61","-15","-47","-34","-35","-84","-27"
"日本人移動者","みどり市","","-35","-61","-15","-20","-11","-5","-15","-50","-10"
"日本人移動者","北群馬郡","","6","22","54","9","14","8","-3","8","46"
"日本人移動者","多野郡","","-5","-10","-9","-3","-11","-9","-2","1","0"
"日本人移動者","甘楽郡","","-27","-98","-37","-11","-45","-23","-16","-53","-14"
"日本人移動者","吾妻郡","","-69","-202","-75","-38","-84","-38","-31","-118","-37"
"日本人移動者","利根郡","","-26","-134","-55","-14","-59","-38","-12","-75","-17"
"日本人移動者","佐波郡","","-20","-143","-80","-29","-70","-27","9","-73","-53"
"日本人移動者","邑楽郡","","42","-116","-110","53","-59","-65","-11","-57","-45"
"日本人移動者","埼玉県市部","","2,666","3,981","1,498","1,360","1,959","1,101","1,306","2,022","397"
"日本人移動者","埼玉県郡部","","-101","-993","-712","-48","-532","-306","-53","-461","-406"
"日本人移動者","さいたま市","","706","1,985","1,300","436","911","585","270","1,074","715"
"日本人移動者","川越市","","214","-5","-137","95","-43","-63","119","38","-74"
"日本人移動者","熊谷市","","11","-120","-120","24","-19","-47","-13","-101","-73"
"日本人移動者","川口市","","91","1,081","795","43","615","459","48","466","336"
"日本人移動者","行田市","","-21","-139","-140","-14","-48","-69","-7","-91","-71"
"日本人移動者","秩父市","","-51","-198","-59","-23","-99","-38","-28","-99","-21"
"日本人移動者","所沢市","","317","161","-191","151","95","-76","166","66","-115"
"日本人移動者","飯能市","","44","-197","-21","37","-88","6","7","-109","-27"
"日本人移動者","加須市","","-17","-251","-43","-9","-95","-17","-8","-156","-26"
"日本人移動者","本庄市","","-30","-132","-40","-32","-42","-7","2","-90","-33"
"日本人移動者","東松山市","","104","-161","-61","56","-92","-21","48","-69","-40"
"日本人移動者","春日部市","","23","-66","-167","-12","-30","-34","35","-36","-133"
"日本人移動者","狭山市","","75","7","-223","57","29","-109","18","-22","-114"
"日本人移動者","羽生市","","-4","-52","-48","-6","-8","-8","2","-44","-40"
"日本人移動者","鴻巣市","","19","-111","-141","9","-72","-83","10","-39","-58"
"日本人移動者","深谷市","","-13","-177","-11","0","-106","16","-13","-71","-27"
"日本人移動者","上尾市","","33","41","-107","18","13","-30","15","28","-77"
"日本人移動者","草加市","","169","478","-15","112","212","21","57","266","-36"
"日本人移動者","越谷市","","108","255","63","36","85","8","72","170","55"
"日本人移動者","蕨市","","69","386","-3","35","203","-40","34","183","37"
"日本人移動者","戸田市","","121","500","358","50","246","215","71","254","143"
"日本人移動者","入間市","","-5","-174","-181","-21","-61","-58","16","-113","-123"
"日本人移動者","朝霞市","","153","334","182","63","164","76","90","170","106"
"日本人移動者","志木市","","63","42","81","27","24","37","36","18","44"
"日本人移動者","和光市","","88","448","62","49","251","52","39","197","10"
"日本人移動者","新座市","","82","56","86","22","42","50","60","14","36"
"日本人移動者","桶川市","","-14","-57","13","-7","-32","42","-7","-25","-29"
"日本人移動者","久喜市","","-7","-205","-99","6","-106","-29","-13","-99","-70"
"日本人移動者","北本市","","-7","-77","-125","3","-53","-73","-10","-24","-52"
"日本人移動者","八潮市","","29","355","492","13","165","262","16","190","230"
"日本人移動者","富士見市","","59","219","77","16","57","48","43","162","29"
"日本人移動者","三郷市","","6","-20","82","-2","-4","74","8","-16","8"
"日本人移動者","蓮田市","","-7","0","-51","-20","-8","-19","13","8","-32"
"日本人移動者","坂戸市","","90","-128","-116","49","-80","-59","41","-48","-57"
"日本人移動者","幸手市","","-12","-82","-79","-8","-37","-34","-4","-45","-45"
"日本人移動者","鶴ヶ島市","","36","-53","-99","11","-36","-49","25","-17","-50"
"日本人移動者","日高市","","-24","-67","-108","-12","-46","-45","-12","-21","-63"
"日本人移動者","吉川市","","17","94","78","8","43","47","9","51","31"
"日本人移動者","ふじみ野市","","144","18","75","94","7","34","50","11","41"
"日本人移動者","白岡市","","7","-7","139","6","2","77","1","-9","62"
"日本人移動者","北足立郡","","4","-49","-15","3","-10","8","1","-39","-23"
"日本人移動者","入間郡","","13","-125","-143","10","-80","-70","3","-45","-73"
"日本人移動者","比企郡","","-44","-286","-263","-17","-167","-136","-27","-119","-127"
"日本人移動者","秩父郡","","-52","-145","-55","-35","-70","-23","-17","-75","-32"
"日本人移動者","児玉郡","","-26","-119","-72","-14","-48","-15","-12","-71","-57"
"日本人移動者","大里郡","","-4","-75","-35","-4","-41","-20","0","-34","-15"
"日本人移動者","南埼玉郡","","41","-4","25","27","-17","24","14","13","1"
"日本人移動者","北葛飾郡","","-33","-190","-154","-18","-99","-74","-15","-91","-80"
"日本人移動者","千葉県市部","","2,925","4,718","115","1,923","2,241","-50","1,002","2,477","165"
"日本人移動者","千葉県郡部","","-13","-639","-279","2","-309","-106","-15","-330","-173"
"日本人移動者","千葉市","","530","834","-207","265","489","-38","265","345","-169"
