"","","/都市間移動者数・その他","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数"
"","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","全国・都道府県・市区町村2016,2017","/年齢","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳"
"日本人移動者","全国市部","","11,412","21,662","6,648","5,950","9,020","3,173","5,462","12,642","3,475"
"日本人移動者","全国郡部","","-11,412","-21,662","-6,648","-5,950","-9,020","-3,173","-5,462","-12,642","-3,475"
"日本人移動者","北海道市部","","1,001","-2,257","-1,135","607","-1,406","-568","394","-851","-567"
"日本人移動者","北海道郡部","","-1,887","-1,872","-126","-845","-585","-74","-1,042","-1,287","-52"
"日本人移動者","札幌市","","1,356","1,436","368","518","197","172","838","1,239","196"
"日本人移動者","函館市","","-274","-281","-208","-171","-115","-114","-103","-166","-94"
"日本人移動者","小樽市","","-3","-218","-118","3","-117","-58","-6","-101","-60"
"日本人移動者","旭川市","","-234","-75","-190","-114","17","-119","-120","-92","-71"
"日本人移動者","室蘭市","","110","-135","-109","117","-76","-65","-7","-59","-44"
"日本人移動者","釧路市","","84","-419","-133","74","-229","-63","10","-190","-70"
"日本人移動者","帯広市","","-73","113","9","-88","121","52","15","-8","-43"
"日本人移動者","北見市","","-134","-268","-7","-80","-105","-6","-54","-163","-1"
"日本人移動者","夕張市","","-16","-16","-8","-8","-8","-8","-8","-8","0"
"日本人移動者","岩見沢市","","-73","-202","-83","-42","-79","-50","-31","-123","-33"
"日本人移動者","網走市","","38","-122","-43","44","-74","-24","-6","-48","-19"
"日本人移動者","留萌市","","-10","-5","-17","8","-3","-1","-18","-2","-16"
"日本人移動者","苫小牧市","","-114","-54","-33","-29","39","-15","-85","-93","-18"
"日本人移動者","稚内市","","-100","3","-34","-33","13","-7","-67","-10","-27"
"日本人移動者","美唄市","","-22","-71","-36","-15","-17","-23","-7","-54","-13"
"日本人移動者","芦別市","","-23","-36","-23","-12","-13","-16","-11","-23","-7"
"日本人移動者","江別市","","191","-581","-177","130","-297","-83","61","-284","-94"
"日本人移動者","赤平市","","-15","-28","-6","-9","-15","-4","-6","-13","-2"
"日本人移動者","紋別市","","-61","-19","0","-35","0","-3","-26","-19","3"
"日本人移動者","士別市","","-10","-45","-14","-10","-8","-7","0","-37","-7"
"日本人移動者","名寄市","","131","-61","3","51","-2","-8","80","-59","11"
"日本人移動者","三笠市","","-20","-1","10","-8","-2","4","-12","1","6"
"日本人移動者","根室市","","-68","-5","-38","-24","20","-6","-44","-25","-32"
"日本人移動者","千歳市","","395","-79","-31","301","-82","-57","94","3","26"
"日本人移動者","滝川市","","102","-118","-15","77","-70","1","25","-48","-16"
"日本人移動者","砂川市","","-8","-5","-12","4","-8","-5","-12","3","-7"
"日本人移動者","歌志内市","","-1","-10","0","2","-4","3","-3","-6","-3"
"日本人移動者","深川市","","43","-97","-33","46","-58","-21","-3","-39","-12"
"日本人移動者","富良野市","","-38","-20","-20","-30","-2","-15","-8","-18","-5"
"日本人移動者","登別市","","34","-182","-10","60","-106","4","-26","-76","-14"
"日本人移動者","恵庭市","","122","-157","30","62","-78","41","60","-79","-11"
"日本人移動者","伊達市","","-53","-47","-32","-26","-14","-16","-27","-33","-16"
"日本人移動者","北広島市","","-47","-180","-40","-34","-105","-23","-13","-75","-17"
"日本人移動者","石狩市","","-67","-172","-42","-27","-90","-19","-40","-82","-23"
"日本人移動者","北斗市","","-141","-100","-43","-95","-36","-9","-46","-64","-34"
"日本人移動者","石狩振興局","","24","-112","-58","11","-29","-38","13","-83","-20"
"日本人移動者","渡島総合振興局","","-234","-201","-1","-102","-93","-12","-132","-108","11"
"日本人移動者","檜山振興局","","-74","-49","-35","-39","-14","-16","-35","-35","-19"
"日本人移動者","後志総合振興局","","-217","-63","-47","-104","-12","-32","-113","-51","-15"
"日本人移動者","空知総合振興局","","-110","-272","-17","-51","-92","-6","-59","-180","-11"
"日本人移動者","上川総合振興局","","-94","-176","51","-28","-44","47","-66","-132","4"
"日本人移動者","留萌振興局","","-72","-28","26","-35","-7","13","-37","-21","13"
"日本人移動者","宗谷総合振興局","","-68","6","41","-38","8","17","-30","-2","24"
"日本人移動者","オホーツク総合振興局","","-256","-105","-35","-104","-14","-23","-152","-91","-12"
"日本人移動者","胆振総合振興局","","-95","-177","-63","-56","-63","-33","-39","-114","-30"
"日本人移動者","日高振興局","","-148","-165","-51","-51","-58","-32","-97","-107","-19"
"日本人移動者","十勝総合振興局","","-302","-352","18","-154","-130","0","-148","-222","18"
"日本人移動者","釧路総合振興局","","-137","-103","20","-57","-30","24","-80","-73","-4"
"日本人移動者","根室振興局","","-104","-75","25","-37","-7","17","-67","-68","8"
"日本人移動者","青森県市部","","-1,465","-2,033","-141","-741","-817","-108","-724","-1,216","-33"
"日本人移動者","青森県郡部","","-592","-733","-216","-298","-260","-88","-294","-473","-128"
"日本人移動者","青森市","","-304","-530","-52","-147","-210","-4","-157","-320","-48"
"日本人移動者","弘前市","","-20","-483","34","0","-241","7","-20","-242","27"
"日本人移動者","八戸市","","-453","-372","22","-252","-160","2","-201","-212","20"
"日本人移動者","黒石市","","-75","-90","-23","-45","-48","-22","-30","-42","-1"
"日本人移動者","五所川原市","","-154","-158","-26","-96","-54","-20","-58","-104","-6"
"日本人移動者","十和田市","","-144","-152","-44","-76","-57","-21","-68","-95","-23"
"日本人移動者","三沢市","","-53","3","27","-4","30","-3","-49","-27","30"
"日本人移動者","むつ市","","-121","-84","-43","-37","1","-35","-84","-85","-8"
"日本人移動者","つがる市","","-86","-95","-37","-50","-40","-19","-36","-55","-18"
"日本人移動者","平川市","","-55","-72","1","-34","-38","7","-21","-34","-6"
"日本人移動者","東津軽郡","","-49","-39","-13","-17","-12","-5","-32","-27","-8"
"日本人移動者","西津軽郡","","-52","-46","-13","-27","-18","-9","-25","-28","-4"
"日本人移動者","中津軽郡","","-3","-3","0","-3","1","-1","0","-4","1"
"日本人移動者","南津軽郡","","-59","-74","-11","-39","-24","-6","-20","-50","-5"
"日本人移動者","北津軽郡","","-86","-102","-44","-43","-42","-15","-43","-60","-29"
