"","","/都市間移動者数・その他","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数"
"","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","全国・都道府県・市区町村2018～","/年齢","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳"
"日本人移動者","桶川市","","6","-10","30","7","-16","8","-1","6","22"
"日本人移動者","久喜市","","-12","-165","-125","6","-87","-55","-18","-78","-70"
"日本人移動者","北本市","","-5","-82","-76","-6","-41","-39","1","-41","-37"
"日本人移動者","八潮市","","41","293","434","28","153","225","13","140","209"
"日本人移動者","富士見市","","59","191","111","22","51","76","37","140","35"
"日本人移動者","三郷市","","-1","191","211","5","87","93","-6","104","118"
"日本人移動者","蓮田市","","-6","-41","26","-6","-37","23","0","-4","3"
"日本人移動者","坂戸市","","79","-177","-3","53","-65","-19","26","-112","16"
"日本人移動者","幸手市","","-22","-105","-68","-10","-50","-17","-12","-55","-51"
"日本人移動者","鶴ヶ島市","","25","-5","15","13","-32","20","12","27","-5"
"日本人移動者","日高市","","-12","-35","-53","-10","-43","2","-2","8","-55"
"日本人移動者","吉川市","","9","32","14","4","22","3","5","10","11"
"日本人移動者","ふじみ野市","","115","-85","-65","86","-70","-57","29","-15","-8"
"日本人移動者","白岡市","","-10","-89","3","-9","-66","-5","-1","-23","8"
"日本人移動者","北足立郡","","15","13","5","9","9","2","6","4","3"
"日本人移動者","入間郡","","50","-115","-151","25","-64","-50","25","-51","-101"
"日本人移動者","比企郡","","-23","-354","-168","-17","-169","-58","-6","-185","-110"
"日本人移動者","秩父郡","","-43","-106","-57","-25","-53","-26","-18","-53","-31"
"日本人移動者","児玉郡","","-12","-124","-76","1","-77","-38","-13","-47","-38"
"日本人移動者","大里郡","","6","-83","-27","4","-24","-3","2","-59","-24"
"日本人移動者","南埼玉郡","","17","-5","21","13","-17","6","4","12","15"
"日本人移動者","北葛飾郡","","-30","-183","-143","-13","-92","-66","-17","-91","-77"
"日本人移動者","千葉県市部","","2,786","4,810","512","1,729","1,961","-72","1,057","2,849","584"
"日本人移動者","千葉県郡部","","117","-649","-307","74","-263","-111","43","-386","-196"
"日本人移動者","千葉市","","563","812","-116","300","333","-159","263","479","43"
"日本人移動者","銚子市","","-76","-207","-93","-39","-92","-49","-37","-115","-44"
"日本人移動者","市川市","","340","2,362","395","141","1,302","120","199","1,060","275"
"日本人移動者","船橋市","","471","1,697","521","346","724","150","125","973","371"
"日本人移動者","館山市","","-75","-26","-20","-39","4","-4","-36","-30","-16"
"日本人移動者","木更津市","","30","-85","93","29","-61","75","1","-24","18"
"日本人移動者","松戸市","","174","826","276","79","315","120","95","511","156"
"日本人移動者","野田市","","88","-260","-67","72","-139","-52","16","-121","-15"
"日本人移動者","茂原市","","-34","-142","-84","-28","-39","-36","-6","-103","-48"
"日本人移動者","成田市","","129","564","-333","61","248","-143","68","316","-190"
"日本人移動者","佐倉市","","32","-212","-164","16","-76","-35","16","-136","-129"
"日本人移動者","東金市","","63","-161","-130","46","-89","-69","17","-72","-61"
"日本人移動者","旭市","","-39","-120","-22","-33","-36","-3","-6","-84","-19"
"日本人移動者","習志野市","","397","33","26","295","-71","-43","102","104","69"
"日本人移動者","柏市","","196","436","215","86","166","66","110","270","149"
"日本人移動者","勝浦市","","177","-286","-44","158","-213","-23","19","-73","-21"
"日本人移動者","市原市","","74","-173","-210","93","-36","-137","-19","-137","-73"
"日本人移動者","流山市","","58","257","773","34","77","297","24","180","476"
"日本人移動者","八千代市","","-25","104","143","-51","11","88","26","93","55"
"日本人移動者","我孫子市","","16","-34","-23","7","5","7","9","-39","-30"
"日本人移動者","鴨川市","","0","0","-54","-18","-3","-3","18","3","-51"
"日本人移動者","鎌ケ谷市","","50","142","-35","21","51","22","29","91","-57"
"日本人移動者","君津市","","124","-180","-107","139","-85","-47","-15","-95","-60"
"日本人移動者","富津市","","17","-69","-108","37","-34","-67","-20","-35","-41"
"日本人移動者","浦安市","","170","1,143","-163","48","439","-67","122","704","-96"
"日本人移動者","四街道市","","39","-51","132","16","-39","55","23","-12","77"
"日本人移動者","袖ケ浦市","","-12","-59","170","-9","-12","79","-3","-47","91"
"日本人移動者","八街市","","-79","-214","-142","-47","-109","-60","-32","-105","-82"
"日本人移動者","印西市","","231","-381","45","127","-236","4","104","-145","41"
"日本人移動者","白井市","","-24","-107","-69","-15","-32","-17","-9","-75","-52"
"日本人移動者","富里市","","3","46","-65","-7","23","-32","10","23","-33"
"日本人移動者","南房総市","","-65","-117","-7","-23","-43","-9","-42","-74","2"
"日本人移動者","匝瑳市","","-22","-105","-22","-13","-34","-7","-9","-71","-15"
"日本人移動者","香取市","","-72","-202","-73","-42","-81","-31","-30","-121","-42"
"日本人移動者","山武市","","-47","-176","-93","-11","-74","-48","-36","-102","-45"
"日本人移動者","いすみ市","","-58","-109","-36","-31","-39","-20","-27","-70","-16"
"日本人移動者","大網白里市","","-28","-136","3","-16","-64","6","-12","-72","-3"
"日本人移動者","印旛郡","","180","-186","-92","104","-90","-39","76","-96","-53"
"日本人移動者","香取郡","","-37","-105","-47","-19","-50","-17","-18","-55","-30"
"日本人移動者","山武郡","","-45","-109","-91","-20","-42","-34","-25","-67","-57"
"日本人移動者","長生郡","","23","-137","-37","18","-34","-3","5","-103","-34"
"日本人移動者","夷隅郡","","8","-74","-27","0","-30","-11","8","-44","-16"
"日本人移動者","安房郡","","-12","-38","-13","-9","-17","-7","-3","-21","-6"
"日本人移動者","東京都市部","","15,684","56,017","20,904","7,504","25,311","10,412","8,180","30,706","10,492"
"日本人移動者","東京都郡部","","-75","-134","-27","-24","-95","-6","-51","-39","-21"
"日本人移動者","特別区部","","9,550","53,551","22,711","4,433","24,627","11,526","5,117","28,924","11,185"
"日本人移動者","八王子市","","1,850","-1,546","-785","1,028","-929","-451","822","-617","-334"
"日本人移動者","立川市","","288","457","44","118","284","79","170","173","-35"
"日本人移動者","武蔵野市","","198","760","213","67","349","108","131","411","105"
"日本人移動者","三鷹市","","378","451","-81","176","179","-77","202","272","-4"
"日本人移動者","青梅市","","10","-254","-185","28","-136","-65","-18","-118","-120"
"日本人移動者","府中市","","384","265","-154","160","52","-103","224","213","-51"
"日本人移動者","昭島市","","68","38","12","33","54","22","35","-16","-10"
"日本人移動者","調布市","","447","1,001","14","204","441","-36","243","560","50"
"日本人移動者","町田市","","363","-239","-501","160","-173","-244","203","-66","-257"
"日本人移動者","小金井市","","209","426","95","142","211","28","67","215","67"
"日本人移動者","小平市","","373","-14","169","181","-25","74","192","11","95"
"日本人移動者","日野市","","289","180","0","157","93","-40","132","87","40"
"日本人移動者","東村山市","","132","-35","-76","42","-18","-62","90","-17","-14"
"日本人移動者","国分寺市","","248","425","-64","119","189","-31","129","236","-33"
"日本人移動者","国立市","","187","99","-58","63","35","-37","124","64","-21"
"日本人移動者","福生市","","22","119","-102","19","80","-39","3","39","-63"
"日本人移動者","狛江市","","117","306","83","54","98","24","63","208","59"
"日本人移動者","東大和市","","-20","10","-54","-7","4","-9","-13","6","-45"
"日本人移動者","清瀬市","","39","35","1","3","1","24","36","34","-23"
"日本人移動者","東久留米市","","33","-88","-37","19","-53","-38","14","-35","1"
"日本人移動者","武蔵村山市","","0","-78","-72","-4","-44","-39","4","-34","-33"
"日本人移動者","多摩市","","188","53","-192","108","11","-89","80","42","-103"
"日本人移動者","稲城市","","53","65","54","24","10","21","29","55","33"
"日本人移動者","羽村市","","14","-77","-66","35","-44","-25","-21","-33","-41"
"日本人移動者","あきる野市","","9","-145","-57","3","-73","-46","6","-72","-11"
"日本人移動者","西東京市","","255","252","-8","139","88","-63","116","164","55"
"日本人移動者","西多摩郡","","10","-167","-106","8","-107","-60","2","-60","-46"
"日本人移動者","大島支庁","","-34","0","17","-11","1","9","-23","-1","8"
"日本人移動者","三宅支庁","","-9","5","12","-2","1","9","-7","4","3"
"日本人移動者","八丈支庁","","-38","14","41","-15","7","25","-23","7","16"
"日本人移動者","小笠原支庁","","-4","14","9","-4","3","11","0","11","-2"
"日本人移動者","神奈川県市部","","5,841","12,183","2,035","3,383","5,789","1,280","2,458","6,394","755"
"日本人移動者","神奈川県郡部","","-63","-504","-444","-71","-207","-224","8","-297","-220"
"日本人移動者","横浜市","","2,229","6,080","961","1,220","2,694","700","1,009","3,386","261"
"日本人移動者","川崎市","","1,420","7,196","2,121","749","3,778","924","671","3,418","1,197"
"日本人移動者","相模原市","","486","159","-255","192","68","-2","294","91","-253"
"日本人移動者","横須賀市","","700","-951","-429","602","-584","-183","98","-367","-246"
"日本人移動者","平塚市","","115","-191","-105","87","-115","-38","28","-76","-67"
"日本人移動者","鎌倉市","","29","-14","13","5","-56","-21","24","42","34"
"日本人移動者","藤沢市","","237","168","60","139","99","-9","98","69","69"
"日本人移動者","小田原市","","42","-191","-166","-9","-110","-81","51","-81","-85"
"日本人移動者","茅ヶ崎市","","78","-136","24","37","-111","19","41","-25","5"
"日本人移動者","逗子市","","-29","-118","-26","0","-72","-16","-29","-46","-10"
"日本人移動者","三浦市","","-32","-98","-109","-22","-48","-49","-10","-50","-60"
"日本人移動者","秦野市","","157","-258","-232","107","-126","-94","50","-132","-138"
"日本人移動者","厚木市","","140","-105","-266","102","-6","-145","38","-99","-121"
"日本人移動者","大和市","","123","439","190","82","228","120","41","211","70"
"日本人移動者","伊勢原市","","25","148","-64","21","100","-21","4","48","-43"
"日本人移動者","海老名市","","20","195","305","7","105","174","13","90","131"
"日本人移動者","座間市","","117","94","61","68","53","30","49","41","31"
"日本人移動者","南足柄市","","-18","-90","-73","-8","-36","-39","-10","-54","-34"
"日本人移動者","綾瀬市","","2","-144","25","4","-72","11","-2","-72","14"
"日本人移動者","三浦郡","","-21","-86","-50","-21","-35","-12","0","-51","-38"
"日本人移動者","高座郡","","1","11","-30","-6","17","-11","7","-6","-19"
"日本人移動者","中郡","","-46","-124","-129","-25","-54","-84","-21","-70","-45"
"日本人移動者","足柄上郡","","-10","-100","-21","-10","-51","-22","0","-49","1"
"日本人移動者","足柄下郡","","8","-98","-139","-19","-30","-40","27","-68","-99"
"日本人移動者","愛甲郡","","5","-107","-75","10","-54","-55","-5","-53","-20"
"日本人移動者","新潟県市部","","-1,358","-4,039","-904","-738","-1,651","-510","-620","-2,388","-394"
"日本人移動者","新潟県郡部","","-100","-247","-68","-43","-108","-33","-57","-139","-35"
"日本人移動者","新潟市","","-4","-835","-153","-33","-408","-133","29","-427","-20"
"日本人移動者","長岡市","","-164","-374","-32","-114","-56","12","-50","-318","-44"
"日本人移動者","三条市","","-88","-229","-75","-44","-81","-51","-44","-148","-24"
"日本人移動者","柏崎市","","-44","-133","-82","-19","-69","-61","-25","-64","-21"
"日本人移動者","新発田市","","-14","-263","-43","14","-139","-33","-28","-124","-10"
"日本人移動者","小千谷市","","-43","-70","-35","-27","-28","-16","-16","-42","-19"
"日本人移動者","加茂市","","-10","-98","-50","3","-52","-16","-13","-46","-34"
"日本人移動者","十日町市","","-123","-194","-34","-63","-93","-7","-60","-101","-27"
"日本人移動者","見附市","","-34","-98","-2","-22","-32","-6","-12","-66","4"
"日本人移動者","村上市","","-80","-224","-45","-45","-113","-13","-35","-111","-32"
"日本人移動者","燕市","","-92","-147","4","-47","-63","12","-45","-84","-8"
"日本人移動者","糸魚川市","","-61","-120","-10","-28","-57","-9","-33","-63","-1"
"日本人移動者","妙高市","","-47","-84","-26","-29","-36","-20","-18","-48","-6"
"日本人移動者","五泉市","","-60","-118","-86","-27","-35","-36","-33","-83","-50"
"日本人移動者","上越市","","-220","-408","-78","-110","-115","-65","-110","-293","-13"
"日本人移動者","阿賀野市","","-41","-119","-93","-27","-58","-36","-14","-61","-57"
"日本人移動者","佐渡市","","-63","-147","1","-41","-63","-11","-22","-84","12"
"日本人移動者","魚沼市","","-66","-100","-23","-33","-39","-10","-33","-61","-13"
"日本人移動者","南魚沼市","","-88","-190","-20","-47","-83","3","-41","-107","-23"
"日本人移動者","胎内市","","-16","-88","-22","1","-31","-14","-17","-57","-8"
"日本人移動者","北蒲原郡","","0","-35","10","7","-20","8","-7","-15","2"
"日本人移動者","西蒲原郡","","-7","-16","-11","-2","5","-8","-5","-21","-3"
"日本人移動者","南蒲原郡","","-14","-52","-14","-5","-22","-3","-9","-30","-11"
"日本人移動者","東蒲原郡","","-33","-53","-14","-19","-30","-8","-14","-23","-6"
"日本人移動者","三島郡","","-4","-12","-11","-2","-6","-2","-2","-6","-9"
"日本人移動者","南魚沼郡","","-10","-7","-5","-6","0","-8","-4","-7","3"
"日本人移動者","中魚沼郡","","-11","-41","-7","-6","-19","-4","-5","-22","-3"
"日本人移動者","刈羽郡","","-10","-3","-4","-4","3","-6","-6","-6","2"
"日本人移動者","岩船郡","","-11","-28","-12","-6","-19","-2","-5","-9","-10"
"日本人移動者","富山県市部","","-342","-719","-270","-159","-118","-166","-183","-601","-104"
"日本人移動者","富山県郡部","","-61","-189","-96","-33","-77","-27","-28","-112","-69"
"日本人移動者","富山市","","-27","-88","39","45","66","-20","-72","-154","59"
"日本人移動者","高岡市","","-87","-152","-35","-64","-64","-8","-23","-88","-27"
"日本人移動者","魚津市","","-32","-31","23","-20","2","12","-12","-33","11"
"日本人移動者","氷見市","","-47","-112","-80","-32","-35","-39","-15","-77","-41"
"日本人移動者","滑川市","","-15","-7","-15","-3","6","-12","-12","-13","-3"
"日本人移動者","黒部市","","-27","17","-72","-18","21","-32","-9","-4","-40"
"日本人移動者","砺波市","","-23","-86","6","-19","-36","-9","-4","-50","15"
"日本人移動者","小矢部市","","-24","-56","-32","-17","-12","-13","-7","-44","-19"
"日本人移動者","南砺市","","-52","-99","-88","-30","-29","-40","-22","-70","-48"
"日本人移動者","射水市","","-8","-105","-16","-1","-37","-5","-7","-68","-11"
"日本人移動者","中新川郡","","-28","-96","-26","-15","-40","-5","-13","-56","-21"
"日本人移動者","下新川郡","","-33","-93","-70","-18","-37","-22","-15","-56","-48"
"日本人移動者","石川県市部","","719","-1,357","-363","613","-789","-237","106","-568","-126"
"日本人移動者","石川県郡部","","-155","-339","-225","-105","-179","-110","-50","-160","-115"
"日本人移動者","金沢市","","499","-440","-172","367","-326","-147","132","-114","-25"
"日本人移動者","七尾市","","-45","-129","-95","-32","-58","-26","-13","-71","-69"
"日本人移動者","小松市","","-1","-91","-34","10","-36","-36","-11","-55","2"
"日本人移動者","輪島市","","86","-157","-38","50","-89","-22","36","-68","-16"
"日本人移動者","珠洲市","","-20","-8","-5","-14","-2","0","-6","-6","-5"
"日本人移動者","加賀市","","-40","-100","-118","-14","-44","-44","-26","-56","-74"
"日本人移動者","羽咋市","","-9","-67","-45","-2","-28","-21","-7","-39","-24"
"日本人移動者","かほく市","","4","-29","58","0","9","53","4","-38","5"
"日本人移動者","白山市","","-67","-110","27","-42","-34","20","-25","-76","7"
"日本人移動者","能美市","","-43","-29","-66","-16","16","-53","-27","-45","-13"
"日本人移動者","野々市市","","355","-197","125","306","-197","39","49","0","86"
"日本人移動者","能美郡","","-1","-7","-4","-1","-1","-2","0","-6","-2"
"日本人移動者","河北郡","","-47","-87","-99","-34","-48","-55","-13","-39","-44"
"日本人移動者","羽咋郡","","-47","-89","-65","-30","-40","-26","-17","-49","-39"
"日本人移動者","鹿島郡","","-21","-48","-11","-15","-21","-7","-6","-27","-4"
"日本人移動者","鳳珠郡","","-39","-108","-46","-25","-69","-20","-14","-39","-26"
"日本人移動者","福井県市部","","-343","-1,032","-169","-183","-494","-80","-160","-538","-89"
"日本人移動者","福井県郡部","","-77","-206","-111","-40","-86","-44","-37","-120","-67"
"日本人移動者","福井市","","-59","-260","86","-9","-150","23","-50","-110","63"
"日本人移動者","敦賀市","","-68","-47","-36","-46","-18","-15","-22","-29","-21"
"日本人移動者","小浜市","","-47","-66","-28","-27","-29","-3","-20","-37","-25"
"日本人移動者","大野市","","-37","-90","-34","-19","-47","-17","-18","-43","-17"
"日本人移動者","勝山市","","-18","-51","-45","-10","-17","-28","-8","-34","-17"
"日本人移動者","鯖江市","","4","-87","18","-6","-39","27","10","-48","-9"
"日本人移動者","あわら市","","-12","-84","-38","-9","-46","-14","-3","-38","-24"
"日本人移動者","越前市","","-46","-140","11","-24","-46","-12","-22","-94","23"
"日本人移動者","坂井市","","-60","-207","-103","-33","-102","-41","-27","-105","-62"
"日本人移動者","吉田郡","","3","-40","-6","1","-32","2","2","-8","-8"
"日本人移動者","今立郡","","-4","-7","-12","-4","-1","-5","0","-6","-7"
"日本人移動者","南条郡","","-8","-29","-12","-4","-10","-11","-4","-19","-1"
"日本人移動者","丹生郡","","-25","-53","-56","-12","-24","-16","-13","-29","-40"
"日本人移動者","三方郡","","-6","1","13","-4","6","4","-2","-5","9"
"日本人移動者","大飯郡","","-14","-27","4","-3","-4","5","-11","-23","-1"
"日本人移動者","三方上中郡","","-23","-51","-42","-14","-21","-23","-9","-30","-19"
"日本人移動者","山梨県市部","","127","-1,790","-384","51","-791","-211","76","-999","-173"
"日本人移動者","山梨県郡部","","-61","-158","-69","-24","-8","-21","-37","-150","-48"
"日本人移動者","甲府市","","145","-285","-5","120","-94","-24","25","-191","19"
"日本人移動者","富士吉田市","","-31","-167","-55","-24","-71","-28","-7","-96","-27"
"日本人移動者","都留市","","258","-354","-16","104","-168","-10","154","-186","-6"
"日本人移動者","山梨市","","-48","-97","-57","-19","-47","-27","-29","-50","-30"
"日本人移動者","大月市","","7","-152","-66","6","-77","-33","1","-75","-33"
"日本人移動者","韮崎市","","-28","-39","-24","-17","-11","-13","-11","-28","-11"
"日本人移動者","南アルプス市","","-68","-142","-46","-49","-69","-18","-19","-73","-28"
"日本人移動者","北杜市","","-51","-133","-115","-24","-58","-53","-27","-75","-62"
"日本人移動者","甲斐市","","9","-85","101","-2","-28","30","11","-57","71"
"日本人移動者","笛吹市","","-5","-77","-8","-16","-41","-12","11","-36","4"
"日本人移動者","上野原市","","-4","-84","-41","3","-34","-15","-7","-50","-26"
"日本人移動者","甲州市","","-43","-132","-42","-23","-67","-30","-20","-65","-12"
"日本人移動者","中央市","","-14","-43","-10","-8","-26","22","-6","-17","-32"
"日本人移動者","西八代郡","","-7","-51","-22","-5","-19","-3","-2","-32","-19"
"日本人移動者","南巨摩郡","","-40","-126","-69","-16","-49","-20","-24","-77","-49"
"日本人移動者","中巨摩郡","","-4","33","24","-1","32","-8","-3","1","32"
"日本人移動者","南都留郡","","-4","-7","-3","3","30","11","-7","-37","-14"
"日本人移動者","北都留郡","","-6","-7","1","-5","-2","-1","-1","-5","2"
"日本人移動者","長野県市部","","-1,335","-2,020","-38","-708","-780","-10","-627","-1,240","-28"
"日本人移動者","長野県郡部","","-513","-944","-414","-252","-367","-200","-261","-577","-214"
"日本人移動者","長野市","","-235","-451","44","-110","-197","-35","-125","-254","79"
"日本人移動者","松本市","","-69","-66","73","-38","-11","47","-31","-55","26"
"日本人移動者","上田市","","-75","-110","-56","-59","-37","-19","-16","-73","-37"
"日本人移動者","岡谷市","","-31","-104","-30","-21","-39","0","-10","-65","-30"
"日本人移動者","飯田市","","-117","-176","-37","-70","-58","7","-47","-118","-44"
"日本人移動者","諏訪市","","-35","-41","-19","-15","-29","12","-20","-12","-31"
"日本人移動者","須坂市","","-60","-120","-11","-35","-47","6","-25","-73","-17"
"日本人移動者","小諸市","","-40","-36","-2","-18","-15","18","-22","-21","-20"
"日本人移動者","伊那市","","-74","-118","-55","-29","-49","-28","-45","-69","-27"
"日本人移動者","駒ヶ根市","","-37","-63","-11","-28","-19","-8","-9","-44","-3"
"日本人移動者","中野市","","-55","-88","-49","-36","-47","-19","-19","-41","-30"
"日本人移動者","大町市","","-61","-80","-33","-36","-25","-26","-25","-55","-7"
"日本人移動者","飯山市","","-25","-72","-22","-14","-23","-16","-11","-49","-6"
"日本人移動者","茅野市","","-10","-135","46","33","-78","-1","-43","-57","47"
"日本人移動者","塩尻市","","-88","52","62","-55","61","28","-33","-9","34"
"日本人移動者","佐久市","","-100","-112","84","-62","-30","44","-38","-82","40"
"日本人移動者","千曲市","","-57","-136","-18","-32","-48","-27","-25","-88","9"
"日本人移動者","東御市","","-69","-41","0","-33","-12","-13","-36","-29","13"
"日本人移動者","安曇野市","","-97","-123","-4","-50","-77","20","-47","-46","-24"
"日本人移動者","南佐久郡","","-33","-112","-44","-21","-47","-26","-12","-65","-18"
"日本人移動者","北佐久郡","","-73","-5","-20","-33","-6","-10","-40","1","-10"
"日本人移動者","小県郡","","-14","-31","-13","-5","-10","-4","-9","-21","-9"
"日本人移動者","諏訪郡","","-14","-106","-72","-5","-45","-48","-9","-61","-24"
"日本人移動者","上伊那郡","","-64","-87","14","-33","-18","14","-31","-69","0"
"日本人移動者","下伊那郡","","-104","-159","-51","-49","-65","-31","-55","-94","-20"
"日本人移動者","木曽郡","","-50","-81","-24","-25","-28","-26","-25","-53","2"
"日本人移動者","東筑摩郡","","-33","-48","-12","-19","-23","5","-14","-25","-17"
"日本人移動者","北安曇郡","","-19","-101","-48","-5","-43","-24","-14","-58","-24"
"日本人移動者","埴科郡","","-10","-15","-26","-2","-2","-4","-8","-13","-22"
"日本人移動者","上高井郡","","-34","-48","-45","-24","-22","-13","-10","-26","-32"
"日本人移動者","下高井郡","","-32","-78","-31","-14","-29","-12","-18","-49","-19"
"日本人移動者","上水内郡","","-29","-68","-34","-16","-28","-15","-13","-40","-19"
"日本人移動者","下水内郡","","-4","-5","-8","-1","-1","-6","-3","-4","-2"
"日本人移動者","岐阜県市部","","-836","-2,248","-1,110","-503","-1,039","-469","-333","-1,209","-641"
"日本人移動者","岐阜県郡部","","-198","-562","-368","-109","-221","-168","-89","-341","-200"
"日本人移動者","岐阜市","","-32","-178","-182","-64","-125","-101","32","-53","-81"
"日本人移動者","大垣市","","-9","-130","-126","-9","-88","-61","0","-42","-65"
"日本人移動者","高山市","","-120","-163","-2","-55","-61","20","-65","-102","-22"
"日本人移動者","多治見市","","-73","-205","-93","-53","-130","-14","-20","-75","-79"
"日本人移動者","関市","","6","-157","-97","9","-89","-40","-3","-68","-57"
"日本人移動者","中津川市","","-115","-181","-69","-67","-66","-45","-48","-115","-24"
"日本人移動者","美濃市","","-12","-46","-44","-4","-16","-23","-8","-30","-21"
"日本人移動者","瑞浪市","","-64","-51","2","-38","-32","13","-26","-19","-11"
"日本人移動者","羽島市","","-21","-68","-84","-15","-35","-28","-6","-33","-56"
"日本人移動者","恵那市","","-64","-106","-49","-40","-35","-27","-24","-71","-22"
"日本人移動者","美濃加茂市","","-8","-31","-18","-5","-19","-16","-3","-12","-2"
"日本人移動者","土岐市","","-28","-93","-55","-24","-30","-35","-4","-63","-20"
"日本人移動者","各務原市","","-16","-13","-12","5","25","13","-21","-38","-25"
"日本人移動者","可児市","","-1","-73","-71","9","-20","-43","-10","-53","-28"
"日本人移動者","山県市","","-15","-109","-45","-15","-45","-26","0","-64","-19"
"日本人移動者","瑞穂市","","33","-14","74","19","-7","44","14","-7","30"
"日本人移動者","飛騨市","","-82","-90","-14","-46","-38","-3","-36","-52","-11"
"日本人移動者","本巣市","","-29","-137","-56","-14","-85","-22","-15","-52","-34"
"日本人移動者","郡上市","","-88","-180","-74","-42","-69","-32","-46","-111","-42"
"日本人移動者","下呂市","","-73","-124","-25","-40","-37","-14","-33","-87","-11"
"日本人移動者","海津市","","-25","-99","-70","-14","-37","-29","-11","-62","-41"
"日本人移動者","羽島郡","","15","62","25","-4","38","4","19","24","21"
"日本人移動者","養老郡","","-21","-94","-48","-6","-45","-15","-15","-49","-33"
"日本人移動者","不破郡","","-8","-58","-73","-6","-13","-43","-2","-45","-30"
"日本人移動者","安八郡","","-22","-85","-20","-20","-38","-21","-2","-47","1"
"日本人移動者","揖斐郡","","-66","-182","-140","-27","-85","-68","-39","-97","-72"
"日本人移動者","本巣郡","","-24","-11","-22","-16","5","-9","-8","-16","-13"
"日本人移動者","加茂郡","","-62","-152","-64","-29","-60","-14","-33","-92","-50"
"日本人移動者","可児郡","","-9","-42","-23","-2","-24","-1","-7","-18","-22"
"日本人移動者","大野郡","","-1","0","-3","1","1","-1","-2","-1","-2"
"日本人移動者","静岡県市部","","-1,743","-2,428","-913","-760","-568","-380","-983","-1,860","-533"
"日本人移動者","静岡県郡部","","-242","-380","38","-128","-98","-12","-114","-282","50"
"日本人移動者","静岡市","","-112","-404","-86","-50","-168","11","-62","-236","-97"
"日本人移動者","浜松市","","-497","-222","-20","-292","20","50","-205","-242","-70"
"日本人移動者","沼津市","","-100","-129","-112","-8","24","-94","-92","-153","-18"
"日本人移動者","熱海市","","0","-97","-85","-5","-49","-38","5","-48","-47"
"日本人移動者","三島市","","-36","-186","-12","-17","-73","8","-19","-113","-20"
"日本人移動者","富士宮市","","-80","-86","-17","-48","-1","37","-32","-85","-54"
"日本人移動者","伊東市","","-87","-81","-51","-43","-51","-17","-44","-30","-34"
"日本人移動者","島田市","","-92","-128","-11","-54","-82","5","-38","-46","-16"
"日本人移動者","富士市","","-183","-253","-29","-105","-44","6","-78","-209","-35"
"日本人移動者","磐田市","","-82","-68","-25","-35","34","-21","-47","-102","-4"
"日本人移動者","焼津市","","-95","-66","-17","-44","13","4","-51","-79","-21"
"日本人移動者","掛川市","","-84","-54","-28","-44","-13","-11","-40","-41","-17"
"日本人移動者","藤枝市","","-96","-149","-31","-47","-62","-27","-49","-87","-4"
"日本人移動者","御殿場市","","108","-71","-81","136","-37","-78","-28","-34","-3"
"日本人移動者","袋井市","","-31","7","100","-3","25","45","-28","-18","55"
"日本人移動者","下田市","","-43","-21","-7","-24","-2","5","-19","-19","-12"
"日本人移動者","裾野市","","-13","14","-51","39","43","-49","-52","-29","-2"
"日本人移動者","湖西市","","-60","-29","-91","-31","16","-65","-29","-45","-26"
"日本人移動者","伊豆市","","-2","-106","-24","-5","-59","-10","3","-47","-14"
"日本人移動者","御前崎市","","-40","-72","-49","-17","-20","-34","-23","-52","-15"
"日本人移動者","菊川市","","-31","-42","25","-18","11","30","-13","-53","-5"
"日本人移動者","伊豆の国市","","-28","-59","-85","-10","-42","-36","-18","-17","-49"
"日本人移動者","牧之原市","","-59","-126","-126","-35","-51","-101","-24","-75","-25"
"日本人移動者","賀茂郡","","-88","-104","-30","-39","-42","-16","-49","-62","-14"
"日本人移動者","田方郡","","-35","-102","-8","-22","-31","8","-13","-71","-16"
"日本人移動者","駿東郡","","-89","-67","130","-56","-8","23","-33","-59","107"
"日本人移動者","榛原郡","","-15","-65","-21","0","-7","-9","-15","-58","-12"
"日本人移動者","周智郡","","-15","-42","-33","-11","-10","-18","-4","-32","-15"
"日本人移動者","愛知県市部","","1,962","5,087","390","1,609","3,379","-116","353","1,708","506"
"日本人移動者","愛知県郡部","","-36","-193","8","-45","-7","-17","9","-186","25"
"日本人移動者","名古屋市","","695","5,779","848","280","3,036","332","415","2,743","516"
"日本人移動者","豊橋市","","-70","-257","-140","1","-83","-70","-71","-174","-70"
"日本人移動者","岡崎市","","-66","219","118","-46","265","131","-20","-46","-13"
"日本人移動者","一宮市","","-102","-281","-82","-75","-169","8","-27","-112","-90"
"日本人移動者","瀬戸市","","-58","-228","-59","-38","-140","-17","-20","-88","-42"
"日本人移動者","半田市","","-36","-52","2","-31","-30","49","-5","-22","-47"
"日本人移動者","春日井市","","26","-109","284","3","-104","180","23","-5","104"
"日本人移動者","豊川市","","12","-71","90","32","-4","35","-20","-67","55"
"日本人移動者","津島市","","-15","-118","-123","-13","-46","-54","-2","-72","-69"
"日本人移動者","碧南市","","41","21","-97","28","15","-59","13","6","-38"
"日本人移動者","刈谷市","","244","368","30","219","326","-28","25","42","58"
"日本人移動者","豊田市","","709","245","-484","569","332","-384","140","-87","-100"
