"","","/都市間移動者数・その他","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数"
"","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","全国・都道府県・市区町村2018～","/年齢","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳"
"日本人移動者","三戸郡","","-125","-187","-56","-48","-67","-31","-77","-120","-25"
"日本人移動者","岩手県市部","","-1,345","-1,541","-262","-706","-578","-112","-639","-963","-150"
"日本人移動者","岩手県郡部","","-407","-547","-97","-189","-236","-35","-218","-311","-62"
"日本人移動者","盛岡市","","-94","-204","-46","-102","-69","23","8","-135","-69"
"日本人移動者","宮古市","","-114","-110","-52","-49","-62","-37","-65","-48","-15"
"日本人移動者","大船渡市","","-107","-80","4","-62","-26","-3","-45","-54","7"
"日本人移動者","花巻市","","-113","-169","-16","-63","-72","-1","-50","-97","-15"
"日本人移動者","北上市","","-127","-58","54","-56","-5","23","-71","-53","31"
"日本人移動者","久慈市","","-100","-60","6","-49","-22","18","-51","-38","-12"
"日本人移動者","遠野市","","-46","-85","-13","-18","-36","-9","-28","-49","-4"
"日本人移動者","一関市","","-239","-185","-66","-126","-84","-39","-113","-101","-27"
"日本人移動者","陸前高田市","","-57","-41","4","-25","-17","3","-32","-24","1"
"日本人移動者","釜石市","","-72","-19","-68","-33","-8","-42","-39","-11","-26"
"日本人移動者","二戸市","","-64","-77","-18","-41","-29","-18","-23","-48","0"
"日本人移動者","八幡平市","","-42","-57","-19","-27","-18","-14","-15","-39","-5"
"日本人移動者","奥州市","","-257","-238","-38","-130","-61","-11","-127","-177","-27"
"日本人移動者","滝沢市","","87","-158","6","75","-69","-5","12","-89","11"
"日本人移動者","岩手郡","","-86","-91","-49","-47","-40","-28","-39","-51","-21"
"日本人移動者","紫波郡","","-93","-132","17","-39","-53","21","-54","-79","-4"
"日本人移動者","和賀郡","","-11","-16","-2","-6","-8","-3","-5","-8","1"
"日本人移動者","胆沢郡","","44","-48","-1","48","-31","3","-4","-17","-4"
"日本人移動者","西磐井郡","","-17","-26","-10","-8","-14","-5","-9","-12","-5"
"日本人移動者","気仙郡","","-7","-14","-12","-7","-6","-9","0","-8","-3"
"日本人移動者","上閉伊郡","","-30","-19","-7","-16","-2","-3","-14","-17","-4"
"日本人移動者","下閉伊郡","","-86","-82","-6","-45","-39","2","-41","-43","-8"
"日本人移動者","九戸郡","","-101","-70","-25","-57","-20","-16","-44","-50","-9"
"日本人移動者","二戸郡","","-20","-49","-2","-12","-23","3","-8","-26","-5"
"日本人移動者","宮城県市部","","500","-634","-297","206","-304","-247","294","-330","-50"
"日本人移動者","宮城県郡部","","-192","-641","-250","-80","-261","-102","-112","-380","-148"
"日本人移動者","仙台市","","1,284","816","162","563","311","10","721","505","152"
"日本人移動者","石巻市","","-146","-202","-90","-62","-64","-14","-84","-138","-76"
"日本人移動者","塩竈市","","-29","-110","1","-17","-44","13","-12","-66","-12"
"日本人移動者","気仙沼市","","-123","-139","-51","-61","-58","-29","-62","-81","-22"
"日本人移動者","白石市","","-47","-76","-64","-22","-43","-30","-25","-33","-34"
"日本人移動者","名取市","","-38","-145","29","-13","-81","13","-25","-64","16"
"日本人移動者","角田市","","-31","-44","-41","-29","14","-43","-2","-58","2"
"日本人移動者","多賀城市","","101","-18","-13","86","-14","-40","15","-4","27"
"日本人移動者","岩沼市","","-15","24","1","-11","13","-20","-4","11","21"
"日本人移動者","登米市","","-125","-182","-62","-69","-83","-7","-56","-99","-55"
"日本人移動者","栗原市","","-119","-150","-56","-65","-68","-38","-54","-82","-18"
"日本人移動者","東松島市","","3","-63","-1","7","-15","7","-4","-48","-8"
"日本人移動者","大崎市","","-150","-174","-92","-65","-65","-50","-85","-109","-42"
"日本人移動者","富谷市","","-65","-171","-20","-36","-107","-19","-29","-64","-1"
"日本人移動者","刈田郡","","-33","-28","-17","-20","-14","-8","-13","-14","-9"
"日本人移動者","柴田郡","","99","-116","-69","65","-54","-29","34","-62","-40"
"日本人移動者","伊具郡","","-26","-32","-23","-15","-10","0","-11","-22","-23"
"日本人移動者","亘理郡","","-36","-74","-30","-18","-44","-5","-18","-30","-25"
"日本人移動者","宮城郡","","-67","-187","-60","-28","-90","-33","-39","-97","-27"
"日本人移動者","黒川郡","","-17","18","10","-4","27","2","-13","-9","8"
"日本人移動者","加美郡","","-44","-84","-24","-28","-33","-7","-16","-51","-17"
"日本人移動者","遠田郡","","-33","-100","-7","-22","-30","-12","-11","-70","5"
"日本人移動者","牡鹿郡","","4","-7","-29","10","-2","-18","-6","-5","-11"
"日本人移動者","本吉郡","","-39","-31","-1","-20","-11","8","-19","-20","-9"
"日本人移動者","秋田県市部","","-1,402","-1,799","-271","-706","-727","-161","-696","-1,072","-110"
"日本人移動者","秋田県郡部","","-183","-336","-38","-102","-129","-31","-81","-207","-7"
"日本人移動者","秋田市","","-159","-552","-109","-63","-284","-35","-96","-268","-74"
"日本人移動者","能代市","","-153","-78","-10","-78","-27","-11","-75","-51","1"
"日本人移動者","横手市","","-197","-224","-27","-111","-86","-19","-86","-138","-8"
"日本人移動者","大館市","","-145","-143","1","-78","-34","-1","-67","-109","2"
"日本人移動者","男鹿市","","-41","-72","-33","-21","-33","-19","-20","-39","-14"
"日本人移動者","湯沢市","","-103","-127","-39","-47","-63","-33","-56","-64","-6"
"日本人移動者","鹿角市","","-87","-32","-10","-39","-6","-1","-48","-26","-9"
"日本人移動者","由利本荘市","","-152","-178","11","-77","-60","-7","-75","-118","18"
"日本人移動者","潟上市","","-57","-77","17","-33","-47","4","-24","-30","13"
"日本人移動者","大仙市","","-134","-106","-31","-72","-26","-16","-62","-80","-15"
"日本人移動者","北秋田市","","-67","-73","-6","-30","-22","-6","-37","-51","0"
"日本人移動者","にかほ市","","-52","-59","-26","-30","-6","-22","-22","-53","-4"
"日本人移動者","仙北市","","-55","-78","-9","-27","-33","5","-28","-45","-14"
"日本人移動者","鹿角郡","","-18","-12","1","-9","-6","-3","-9","-6","4"
"日本人移動者","北秋田郡","","-3","-2","1","1","-4","-1","-4","2","2"
"日本人移動者","山本郡","","-72","-90","-17","-34","-28","-10","-38","-62","-7"
"日本人移動者","南秋田郡","","12","-130","-9","1","-62","-6","11","-68","-3"
"日本人移動者","仙北郡","","-48","-41","-12","-33","-13","-11","-15","-28","-1"
"日本人移動者","雄勝郡","","-54","-61","-2","-28","-16","0","-26","-45","-2"
"日本人移動者","山形県市部","","-627","-1,517","-132","-241","-640","-44","-386","-877","-88"
"日本人移動者","山形県郡部","","-494","-587","-197","-260","-258","-119","-234","-329","-78"
"日本人移動者","山形市","","146","-309","-3","66","-177","42","80","-132","-45"
"日本人移動者","米沢市","","-23","-214","-18","22","-63","8","-45","-151","-26"
"日本人移動者","鶴岡市","","-148","-284","-5","-54","-128","-5","-94","-156","0"
"日本人移動者","酒田市","","-310","-97","-34","-148","2","-17","-162","-99","-17"
"日本人移動者","新庄市","","-56","-108","-37","-16","-31","-27","-40","-77","-10"
"日本人移動者","寒河江市","","-51","-54","-21","-33","-17","-4","-18","-37","-17"
"日本人移動者","上山市","","-45","-73","-38","-36","-31","-20","-9","-42","-18"
"日本人移動者","村山市","","-27","-70","-33","-13","-34","-25","-14","-36","-8"
"日本人移動者","長井市","","-30","-68","0","-17","-37","1","-13","-31","-1"
"日本人移動者","天童市","","-41","-74","58","-20","-47","35","-21","-27","23"
"日本人移動者","東根市","","33","-52","-3","47","-26","-29","-14","-26","26"
"日本人移動者","尾花沢市","","-26","-62","-12","-13","-23","-9","-13","-39","-3"
"日本人移動者","南陽市","","-49","-52","14","-26","-28","6","-23","-24","8"
"日本人移動者","東村山郡","","-42","-80","-34","-19","-39","-17","-23","-41","-17"
"日本人移動者","西村山郡","","-70","-126","-49","-37","-56","-38","-33","-70","-11"
"日本人移動者","北村山郡","","-14","-6","-10","-4","2","-7","-10","-8","-3"
"日本人移動者","最上郡","","-113","-108","-28","-56","-47","-6","-57","-61","-22"
"日本人移動者","東置賜郡","","-56","-98","-29","-32","-58","-32","-24","-40","3"
"日本人移動者","西置賜郡","","-60","-91","-36","-39","-39","-7","-21","-52","-29"
"日本人移動者","東田川郡","","-98","-53","5","-49","-11","-8","-49","-42","13"
"日本人移動者","飽海郡","","-41","-25","-16","-24","-10","-4","-17","-15","-12"
"日本人移動者","福島県市部","","-1,186","-2,573","-490","-612","-1,011","-311","-574","-1,562","-179"
"日本人移動者","福島県郡部","","-598","-1,138","-361","-355","-495","-173","-243","-643","-188"
"日本人移動者","福島市","","-36","-463","-225","30","-207","-128","-66","-256","-97"
"日本人移動者","会津若松市","","-187","-227","2","-124","-63","-8","-63","-164","10"
"日本人移動者","郡山市","","-90","-375","-113","-37","-236","-112","-53","-139","-1"
"日本人移動者","いわき市","","-353","-526","-13","-199","-170","3","-154","-356","-16"
"日本人移動者","白河市","","-81","-129","-18","-37","-30","-20","-44","-99","2"
"日本人移動者","須賀川市","","-87","-125","-9","-45","-45","-10","-42","-80","1"
"日本人移動者","喜多方市","","-76","-100","-44","-42","-35","-19","-34","-65","-25"
"日本人移動者","相馬市","","-26","-31","19","-5","6","18","-21","-37","1"
"日本人移動者","二本松市","","-49","-99","-6","-29","-44","-1","-20","-55","-5"
"日本人移動者","田村市","","-57","-126","-68","-25","-55","-25","-32","-71","-43"
"日本人移動者","南相馬市","","-82","-67","-7","-51","-11","-9","-31","-56","2"
"日本人移動者","伊達市","","-52","-205","-30","-44","-90","-23","-8","-115","-7"
"日本人移動者","本宮市","","-10","-100","22","-4","-31","23","-6","-69","-1"
"日本人移動者","伊達郡","","-33","-141","-59","-36","-53","-27","3","-88","-32"
