year,place,total_15_19,total_20_24,total_25_29,m_15_19,m_20_24,m_25_29,f_15_19,f_20_24,f_25_29,city_county
2016,平川市,-72.0,-98.0,-28.0,-46.0,-47.0,-11.0,-26.0,-51.0,-17.0,city
2016,東津軽郡,-59.0,-75.0,-25.0,-36.0,-16.0,-9.0,-23.0,-59.0,-16.0,county
2016,西津軽郡,-60.0,-61.0,-16.0,-35.0,-27.0,-6.0,-25.0,-34.0,-10.0,county
2016,中津軽郡,-4.0,-6.0,-3.0,-3.0,-3.0,-2.0,-1.0,-3.0,-1.0,county
2016,南津軽郡,-67.0,-67.0,-24.0,-40.0,-37.0,-4.0,-27.0,-30.0,-20.0,county
2016,北津軽郡,-101.0,-89.0,-7.0,-56.0,-34.0,-2.0,-45.0,-55.0,-5.0,county
2016,上北郡,-169.0,-143.0,46.0,-91.0,-21.0,12.0,-78.0,-122.0,34.0,county
2016,下北郡,-51.0,-44.0,-21.0,-30.0,-12.0,-17.0,-21.0,-32.0,-4.0,county
2016,三戸郡,-148.0,-245.0,-26.0,-70.0,-97.0,2.0,-78.0,-148.0,-28.0,county
2016,盛岡市,-30.0,-141.0,-89.0,-58.0,-77.0,1.0,28.0,-64.0,-90.0,city
2016,宮古市,-121.0,-108.0,15.0,-49.0,-61.0,11.0,-72.0,-47.0,4.0,city
2016,大船渡市,-92.0,-37.0,-2.0,-57.0,0.0,0.0,-35.0,-37.0,-2.0,city
2016,花巻市,-91.0,-180.0,-13.0,-59.0,-60.0,-32.0,-32.0,-120.0,19.0,city
2016,北上市,-153.0,-48.0,63.0,-75.0,4.0,45.0,-78.0,-52.0,18.0,city
2016,久慈市,-106.0,-90.0,-34.0,-50.0,-44.0,-19.0,-56.0,-46.0,-15.0,city
2016,遠野市,-53.0,-86.0,-10.0,-17.0,-30.0,-7.0,-36.0,-56.0,-3.0,city
2016,一関市,-264.0,-171.0,-42.0,-147.0,-75.0,0.0,-117.0,-96.0,-42.0,city
2016,陸前高田市,-58.0,-58.0,-12.0,-35.0,-33.0,-11.0,-23.0,-25.0,-1.0,city
2016,釜石市,-77.0,-34.0,26.0,-33.0,5.0,21.0,-44.0,-39.0,5.0,city
