"","","/都市間移動者数・その他","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数"
"","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","全国・都道府県・市区町村2016,2017","/年齢","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳"
"日本人移動者","全国市部","","11,350","21,432","6,227","5,759","9,238","3,109","5,591","12,194","3,118"
"日本人移動者","全国郡部","","-11,350","-21,432","-6,227","-5,759","-9,238","-3,109","-5,591","-12,194","-3,118"
"日本人移動者","北海道市部","","904","-2,587","-1,261","485","-1,598","-542","419","-989","-719"
"日本人移動者","北海道郡部","","-1,992","-1,858","-48","-1,020","-668","-34","-972","-1,190","-14"
"日本人移動者","札幌市","","1,485","1,643","205","588","463","75","897","1,180","130"
"日本人移動者","函館市","","-325","-322","-169","-213","-153","-59","-112","-169","-110"
"日本人移動者","小樽市","","-16","-333","-192","-21","-189","-58","5","-144","-134"
"日本人移動者","旭川市","","-242","-283","-286","-155","-99","-97","-87","-184","-189"
"日本人移動者","室蘭市","","96","-208","-159","108","-138","-95","-12","-70","-64"
"日本人移動者","釧路市","","-16","-241","-105","11","-83","-50","-27","-158","-55"
"日本人移動者","帯広市","","21","-87","-77","-18","22","-49","39","-109","-28"
"日本人移動者","北見市","","-145","-224","5","-51","-123","0","-94","-101","5"
"日本人移動者","夕張市","","-11","-24","-3","-5","-13","0","-6","-11","-3"
"日本人移動者","岩見沢市","","-29","-189","-84","-5","-95","-38","-24","-94","-46"
"日本人移動者","網走市","","48","-88","-50","37","-53","-25","11","-35","-25"
"日本人移動者","留萌市","","-19","-14","17","8","8","-1","-27","-22","18"
"日本人移動者","苫小牧市","","-159","-75","6","-77","-10","29","-82","-65","-23"
"日本人移動者","稚内市","","-80","44","-24","-30","40","-6","-50","4","-18"
"日本人移動者","美唄市","","-13","-100","-39","2","-35","-20","-15","-65","-19"
"日本人移動者","芦別市","","-20","-52","-22","-12","-25","-5","-8","-27","-17"
"日本人移動者","江別市","","221","-532","-84","137","-330","-54","84","-202","-30"
"日本人移動者","赤平市","","-10","-10","-9","-8","-3","-5","-2","-7","-4"
"日本人移動者","紋別市","","-63","6","17","-42","16","17","-21","-10","0"
"日本人移動者","士別市","","-52","-73","-30","-36","-30","-20","-16","-43","-10"
"日本人移動者","名寄市","","78","-26","12","48","13","9","30","-39","3"
"日本人移動者","三笠市","","-26","-10","6","-10","2","5","-16","-12","1"
"日本人移動者","根室市","","-77","-12","-16","-47","-1","-14","-30","-11","-2"
"日本人移動者","千歳市","","323","-61","-64","235","-92","-72","88","31","8"
"日本人移動者","滝川市","","119","-144","2","96","-108","9","23","-36","-7"
"日本人移動者","砂川市","","-9","-13","-11","-8","-9","4","-1","-4","-15"
"日本人移動者","歌志内市","","-2","-14","-5","-3","-7","-3","1","-7","-2"
"日本人移動者","深川市","","47","-95","-19","46","-48","-3","1","-47","-16"
"日本人移動者","富良野市","","-50","-42","-15","-29","-6","5","-21","-36","-20"
"日本人移動者","登別市","","-2","-204","4","26","-117","9","-28","-87","-5"
"日本人移動者","恵庭市","","74","-205","19","43","-125","-2","31","-80","21"
"日本人移動者","伊達市","","-46","-85","-16","-14","-38","-15","-32","-47","-1"
"日本人移動者","北広島市","","-35","-215","-30","-14","-108","0","-21","-107","-30"
"日本人移動者","石狩市","","-52","-191","-39","-35","-87","-13","-17","-104","-26"
"日本人移動者","北斗市","","-109","-108","-6","-67","-37","0","-42","-71","-6"
"日本人移動者","石狩振興局","","-2","-120","-44","-7","-62","-23","5","-58","-21"
"日本人移動者","渡島総合振興局","","-320","-252","32","-181","-149","11","-139","-103","21"
"日本人移動者","檜山振興局","","-80","-28","1","-44","20","4","-36","-48","-3"
"日本人移動者","後志総合振興局","","-194","-48","52","-90","24","38","-104","-72","14"
"日本人移動者","空知総合振興局","","-140","-257","-46","-82","-81","-37","-58","-176","-9"
"日本人移動者","上川総合振興局","","-149","-184","22","-63","-67","18","-86","-117","4"
"日本人移動者","留萌振興局","","-58","-57","24","-24","-26","19","-34","-31","5"
"日本人移動者","宗谷総合振興局","","-70","25","9","-31","44","22","-39","-19","-13"
"日本人移動者","オホーツク総合振興局","","-275","-196","-36","-127","-96","-36","-148","-100","0"
"日本人移動者","胆振総合振興局","","-61","-120","-7","-54","-57","-6","-7","-63","-1"
"日本人移動者","日高振興局","","-118","-109","-16","-38","-23","-36","-80","-86","20"
"日本人移動者","十勝総合振興局","","-269","-328","-18","-160","-141","-5","-109","-187","-13"
"日本人移動者","釧路総合振興局","","-137","-129","-46","-65","-53","-23","-72","-76","-23"
"日本人移動者","根室振興局","","-119","-55","25","-54","-1","20","-65","-54","5"
"日本人移動者","青森県市部","","-1,522","-1,820","-244","-758","-628","-157","-764","-1,192","-87"
"日本人移動者","青森県郡部","","-659","-730","-76","-361","-247","-26","-298","-483","-50"
"日本人移動者","青森市","","-353","-538","-141","-189","-202","-77","-164","-336","-64"
"日本人移動者","弘前市","","-23","-446","9","2","-168","4","-25","-278","5"
"日本人移動者","八戸市","","-451","-244","-28","-219","-63","-45","-232","-181","17"
"日本人移動者","黒石市","","-73","-82","-17","-42","-44","-16","-31","-38","-1"
"日本人移動者","五所川原市","","-162","-125","0","-107","-49","28","-55","-76","-28"
"日本人移動者","十和田市","","-148","-92","-38","-80","-33","-24","-68","-59","-14"
"日本人移動者","三沢市","","-44","-41","21","-14","-1","-1","-30","-40","22"
"日本人移動者","むつ市","","-129","-54","-3","-41","11","-4","-88","-65","1"
"日本人移動者","つがる市","","-67","-100","-19","-22","-32","-11","-45","-68","-8"
"日本人移動者","平川市","","-72","-98","-28","-46","-47","-11","-26","-51","-17"
"日本人移動者","東津軽郡","","-59","-75","-25","-36","-16","-9","-23","-59","-16"
"日本人移動者","西津軽郡","","-60","-61","-16","-35","-27","-6","-25","-34","-10"
"日本人移動者","中津軽郡","","-4","-6","-3","-3","-3","-2","-1","-3","-1"
"日本人移動者","南津軽郡","","-67","-67","-24","-40","-37","-4","-27","-30","-20"
"日本人移動者","北津軽郡","","-101","-89","-7","-56","-34","-2","-45","-55","-5"
"日本人移動者","上北郡","","-169","-143","46","-91","-21","12","-78","-122","34"
